Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count,Recommended_Prods
38ZDPKKAETSO,Promariner ProSport PFC Battery Charger,,https://walmart.com/ip/38ZDPKKAETSO,Auto & Tires,/Car Battery Chargers,$119.42,3.5,2 ratings,['Not available']
4VJIN2GOE187,UPBRIGHT NEW AC / DC Adapter For EverStart MAXX 1200 PEAK AMPS JUMP Starter with Air Compressor and Inverter Ever Start 1200A 600A Jumpstarter Box Lot 11480 Power Supply Battery Charger,UPBRIGHT NEW AC / DC Adapter For EverStart MAXX 1200 PEAK AMPS JUMP Starter with Air Compressor and Inverter Ever Start 1200A 600A Jumpstarter Box Lot 11480 Power Supply Battery Charger,https://walmart.com/ip/4VJIN2GOE187,Auto & Tires,/Jump Starters,$23.99,5.0,1 ratings,"['36SR0ABF5S11', '3HUYQNH71MQR', '6O3JM10Q7C4K', '57DMOVV1TND0', '6Q8QBA3KE1K9', '2E73YYLJTO82', '44H1DEZDZGYP', '112DIAHYVTVB', '40QIB2LHZH1H', '5XJ2R7MZLD0J', '3N2Z8FJS8OT5', '26UJXUHVQ1I1', '1D4XEVQ3M3QP', '3ZQLLFXRIMO1', '27L5EZ3Q35QA', '3N2Z8FJS8OT5', '0Y45BD42OW3V', '27L5EZ3Q35QA', '7I5BOHJF674W', '65BVLMSI8DGK']"
5478N9SU4SO7,Lectron 240V 16 Amp Level 2 EV Charger with 21ft Extension Cord J1772 Cable & NEMA 10-30 Plug Electric Vehicle Charger,"Electric Vehicles (EVs) are the future. We applaud you for being ahead of the pack by making a wise, pioneering investment. The Lectron EV Charger can make EV use way easier by supplementing your factory-issued charger. It produces a rapid-fire charge and has LED indicator lights that notify you of any charging errors. ✔ FAST CHARGING - Designed with the intention of making EV charging quick and effortless. Utilizing the standard J1772 charging protocol, this charging cable is compatible with all electric cars and plug-in hybrid. Compact and durable, it is the perfect charging cable for home use and with a 21ft cable that's long enough for most driveways or garages. ✔ LEVEL 2 CHARGER - Our level two charging cable will offer you 3x the charging speed in comparison to your car's original charger. Boosting 240V and up to 16A, it provides a rapid charging rate of 3.86kw/hour, which equates to approximately 11 miles per hour of charge. ✔ HIGH QUALITY - The charging station is rugged and robust, equipped with overvoltage, overheat and overcurrent protection. The indicating light on the charging station helps to show the various stages of charging and to warn of possible errors. ✔ TECHNICAL SPECS - Input Power: 240V AC, Voltage Range 185V AC to 264V AC, Frequency: 60Hz, Maximum Current: 16A, Cable Length: 21ft (6.4m), Plug: NEMA 10-30, Weight: 2.1kg (4.6lbs), Operating Temp: -30C (-22F) to 50C (+122F) ✔ LECTRON 3-MONTH WARRANTY - If any of our products fail to meet your expectations, please get in touch with us and we will try to resolve the issue. If we can't resolve the problem to your satisfaction, you will get a full refund or replacement - no questions asked. ",https://walmart.com/ip/5478N9SU4SO7,Auto & Tires,/Electric Vehicle Charging Equipment,$179.99,0.0,0 ratings,['Not available']
1I79KHWDMKW8,36 Volt 5A Golf Cart Battery Charger SB50 Fit for Star EZGO Club Car DS EZgo TXT,"Specifications: Condition: New Current Output: 5A DC Input Plug: US Plug Charger Plug: SB-50 Plug  Voltage Input: 110V(AC)Voltage Output: 36V DC Manufacturer Part Number: Does not apply  Package List:  1 x Golf Cart Battery Charger  Note: Please well check pictures and specifications to confirm the compatibility before purchase Please contact us first if finding any problem of the products. We will do our best to provide satisfactory customer service  Brand new  Direct replacement and easy installation  Stable characteristics, high reliability High cost performance High quality and durable construction ",https://walmart.com/ip/1I79KHWDMKW8,Auto & Tires,/Car Battery Chargers,$79.99,0.0,0 ratings,"['5SDQXGXJXYQP', '12ELFSHWTGDL', '7L8AC5AWMCKK', '44PNOIUM53W7', '6WZPE49Z1BWL', '1O6QI27E0JCI', '3N2Z8FJS8OT5', '31DDE2X96NJD', '2UVS8HWCUJ7S', '5IDCWULF4HNL', '12ENQWK0KFIS', '5KFSV4OQ6GZS', '2Q61PBSCY9TC', '623G3FWLJ8MC', '0Y9HRRJNH6LR']"
6QB34HT31K4O,"GOOLOO 1500A Peak 20800mAh SuperSafe Car Jump Starter with USB Quick Charge 3.0 (Up to 8.0L Gas, 6.0L Diesel Engine)","POWERFUL LIFE SAVER: The GOOLOO GP200 Jump Starter is powerful enough to easily start most 12 volt batteries (up to 8.0L gas or 6.0L diesel engines) Works with cars, motorcycles, RVs, tractors, trucks, lawnmowers, cargo vans, ATVs, snowmobiles , boats, etc. A full charge works up to 30 times with 1500 amps of peak current using heavy-duty clamps.   QUICK-CHARGE USB PORTS: Designed with dual USB outputs, the quick-charge 3.0 USB port charges your devices faster and is compatible with almost all USB charging devices.   ADVANCED PROTECTION & UPGRADED SECURE CLAMP: The GP200 has built-in smart security protection making it safer to use. The included upgraded clamp is now bigger and more durable.   PORTABLE CHARGER & LCD SCREEN: 20800mAh Capacity with Dual USB Ports. Charges phones, tablets, cameras, kindles and other devices. The built-in LCD screen displays the battery’s status and alerts you when it’s time to recharge.   WHAT’S INCLUDED: GOOLOO GP200 Jump Starter, 12V Battery Clamp, Wall Charger, Car Charger, USB - Type C Cable, Storage Case, User Manual. (Notice – DO NOT INCLUDE 12V cigarette lighter socket adaptor.)20,800mAh Power Pack with Quick Charge 3.0",https://walmart.com/ip/6QB34HT31K4O,Auto & Tires,/Power Sources,$79.99,0.0,0 ratings,"['3JFVPMK786QG', '4MJ978ENF3MW', '3WYPUY8KPGCM', '3LRQ96HRX6XK', '4KAW1V1TSHKZ', '3N2Z8FJS8OT5', '1O6QI27E0JCI', '5KFSV4OQ6GZS', '3GVQQBHRKLPG', '623G3FWLJ8MC', '12ENQWK0KFIS', '5IDCWULF4HNL', '0Y9HRRJNH6LR', '3J2DKWMJNV74', '48QEOYL3DE1W']"
10S6U5NSJ1OL,Dewalt DCB112 Charger 20V DeWalt Battery DCB203 2Ah Li-Ion 20V,"Charges all DEWALT 12V and 20V MAX Li-Ion batteries. Charges batteries in 1 hour or less, minimizing downtime.Diagnostics with LED indicator communicates battery charge status",https://walmart.com/ip/10S6U5NSJ1OL,Auto & Tires,/Car Battery Chargers,$67.97,0.0,0 ratings,"['5SDQXGXJXYQP', '12ELFSHWTGDL', '7L8AC5AWMCKK', '44PNOIUM53W7', '6WZPE49Z1BWL', '1O6QI27E0JCI', '3N2Z8FJS8OT5', '31DDE2X96NJD', '2UVS8HWCUJ7S', '0YIR8NRGTCYE', '12ENQWK0KFIS', '5IDCWULF4HNL', '3GVQQBHRKLPG', '2Q61PBSCY9TC', '40RGZ294TTFR']"
1MXRS8AZPAR8,UpBright NEW Global 12V AC / DC Adapter For Genius Boost Pro GB150 BoostPro Jump Starter 12VDC Power Supply Cord Cable PS Charger Mains PSU(Not 5V),UpBright NEW Global 12V AC / DC Adapter For Genius Boost Pro GB150 BoostPro Jump Starter 12VDC Power Supply Cord Cable PS Charger Mains PSU(Not 5V)UpBright NEW Global 12V AC / DC Adapter For NOCO Genius Boost Pro GB150 BoostPro Jump Starter 12VDC Power Supply Cord Cable PS Charger Mains PSU(Not 5V),https://walmart.com/ip/1MXRS8AZPAR8,Auto & Tires,/Jumper Cables,$22.99,0.0,0 ratings,"['2M2WX5MFX0UT', '6GVOWKT4WIH0', '4KAW1V1TSHKZ', '3YR61WBAP3V0', '13XFLKTP0U0C', '1O6QI27E0JCI', '3N2Z8FJS8OT5', '2UVS8HWCUJ7S', '5KFSV4OQ6GZS', '3GVQQBHRKLPG', '12ENQWK0KFIS', '623G3FWLJ8MC', '0Y9HRRJNH6LR', '1O6QI27E0JCI', '3N2Z8FJS8OT5']"
348A2COTE9QQ,"Multifunctional Car Jump Starter Portable External Battery Charger Boost 300A With 89800mAh - Emergency Auto Heavy Duty Jump Starter For Truck, Van, SUV, Laptop and Emergency"," TM26 Multifunction Jump Starter 89800mah 12V 4Usb 300A Portable Car Battery Booster Charger Booster Power Bank Starting Device    Features:  1.The Necessary Compasses For Mountaineering, Camping And Other Outdoor Activities  2.Waterproof And Dustproof  3.The Battery Capacity Is Large, Durable And Safe  4.Small Size, Slim And Easy To Carry  5.Low Temperature Resistance, High Temperature Resistance  6.Providing Power To The Car, Starting The Car In a Flash, Simply Solving The Dilemma  7.No Need To Install, No Need To Set Up, Just Use a Clip To Connect The Car Positive And Negative,  Open The Power Switch, The Car Can Start (Red - Positive, Black - Negative)    Four Practical Functions:  1. Instantly Start The Car, Safety And Emergency Necessities  2. Efficient Intelligent Charging, With Adapter And Charging Line, Can Be Applied To More Than 95% Notebook,  Mobile Phones, Tablet Pcs, Cameras And Other Electronic Equipment  3. 1W Super Bright Led Flashlight, With Flash Mode, Can Convert Sos Emergency Mode  4. Temperature Protection, Short Circuit Protection, Constant Voltage Protection, Constant Current Protection,  Over Charge Protection, Over Discharge Protection, Balance Protection, Magnetic Field Protection    Description:  Size: 185x85x40mm  USB: 5V 4.2A  Charging Method: Cc/Ca 13.5  Cycle Life: 2~3 Years  Starting Current: 200A (5s)  Peak Current: 300A (2s)  Operating Temperature Range: -20 ° C ~ 60 ° C  Color: Black And Blue  Material:Abs  Capacity: 89800 Mah  Host Weight:<445g  Set Weight:<1.2kg  Laptop Output: 12V-16V-19V  Input Current: 15V/1A  Three Light Mode:Led Torch,Red And Blue Lights,Sos,Led Explosion-Flashing  Cycle Life: 3000 Time  Applicable Vehicle Type:Gasoline Car，Diesel Engined Car    Package Included:  1 x Car Jump Starter  1 x Power Adapter  1 x Car Charger  2 x Battery Clamps(Black+Red)  1 x 4 In 1 Mobile Phone Connectors  8 x Laptop Connectors  1 x Laptop Adapter Cable  1 x User Manual   Portable Car Jump Starter with Large Battery Capacity Instantly Start The Car, Safety And Emergency Necessities With 1W Super Bright Led Flashlight and Flash Mode. Durable And Safe, Waterproof And Dustproof Small Size, Slim And Easy To Carry Low Temperature Resistance, High Temperature Resistance ",https://walmart.com/ip/348A2COTE9QQ,Auto & Tires,/Power Sources,$63.93,0.0,0 ratings,"['4ZWFDMM3TKXH', '15BFYK284Z2D', '35UU7G5TE8UF', '60UMVJPJG23E', '6NUVQLAVW3YF', '3JFVPMK786QG', '4MJ978ENF3MW', '3WYPUY8KPGCM', '3LRQ96HRX6XK', '4KAW1V1TSHKZ', '3N2Z8FJS8OT5', '1O6QI27E0JCI', '2UVS8HWCUJ7S', '3GVQQBHRKLPG', '5KFSV4OQ6GZS', '12ENQWK0KFIS', '0Y9HRRJNH6LR', '623G3FWLJ8MC', '6RUYUIG43PGL', '31DDE2X96NJD']"
5QJ4BJO40OAU,ABLEGRID Car DC Adapter For EverStart Maxx Heavy Duty Jump Starter Model HP450-2 HP-450-2 HP4502 HP-4502 Ever Start Power Supply Cord Cable Battery Charger PSU,"ABLEGRID Car DC Adapter For EverStart Maxx Heavy Duty Jump Starter Model HP450-2 HP-450-2 HP4502 HP-4502 Ever Start Power Supply Cord Cable Battery Charger PSUABLEGRID Car DC Adapter For EverStart Maxx Heavy Duty Jump Starter Model HP450-2 HP-450-2 HP4502 HP-4502 Ever Start Power Supply Cord Cable Battery Charger PSU  Product names are trademarks of the listed manufacturer or other owners, and are not trademarks of ABLEGRID. The manufacturer does not necessarily endorse use of these products  ",https://walmart.com/ip/5QJ4BJO40OAU,Auto & Tires,/Jump Starters,$19.88,0.0,0 ratings,"['2E73YYLJTO82', '44H1DEZDZGYP', '112DIAHYVTVB', '40QIB2LHZH1H', '5XJ2R7MZLD0J', '3N2Z8FJS8OT5', '26UJXUHVQ1I1', '6ZNAX5Z0NPFT', '3ZQLLFXRIMO1', '56QSJZ7Z5GUG', '12ENQWK0KFIS', '623G3FWLJ8MC', '0Y9HRRJNH6LR', '1O6QI27E0JCI', '3N2Z8FJS8OT5']"
4KRKJ3O3EEE9,Schumacher SC1300 1.5A 6/12V Fully Automatic Battery Charger/Maintainer,"OB BAT MAINTANR 1.5A Quick and easy attachment anywhere - including fender wells and battery trays For maintaining all power sport, car & boat batteries Microprocessor controlled - automatically adjusts the amperage rate to charge and maintain Float mode monitoring - automatically maintains optimum battery charge Auto-voltage detection - automatically detects 6 or 12 volt batteries Reverse hook-up protection - charger will not operate if clamps are reversed Schu Eco Energy - meets the highest industry standards DOE compliant Mounting hardware included 1.5 Amps 6/12 volts ",https://walmart.com/ip/4KRKJ3O3EEE9,Auto & Tires,/Car Battery Chargers,$40.79,4.0,1 ratings,"['5ZGEIYCI4USP', '6Z94NY47M1K0', '6VGORXWKRRYG', '505BRYCXNPK0', '3YMLEWXR32UQ', '5SDQXGXJXYQP', '12ELFSHWTGDL', '7L8AC5AWMCKK', '44PNOIUM53W7', '6WZPE49Z1BWL', '3N2Z8FJS8OT5', '26UJXUHVQ1I1', '3ZQLLFXRIMO1', '4P0LEXLVHYQX', '7I5BOHJF674W', '623G3FWLJ8MC', '12ENQWK0KFIS', '0Y9HRRJNH6LR', '1O6QI27E0JCI', '3N2Z8FJS8OT5']"
