Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count,Recommended_Prods
6H83T4F24HK5,Seattles Best Coffee Post Alley Blend (Previously Signature Blend No. 5) Dark Roast Ground Coffee 12-Ounce Bag,"Post Alley Blend - This is a smoky and intense French roast with a wonderfully smooth side. Best enjoyed by pausing for a moment to allow the aromas to stir your senses before taking the first sip.  Seattle's Best Coffee has a new look but the same premium beans, specially roasted for a smooth taste Signature Blend No. 5 is now Post Alley Blend Post Alley Blend is our most intense dark roast coffee with smoky flavor Our recommendation for a great cup of Seattle's Best Coffee is 1 tbsp (5 g) of ground coffee for every 6 fl. oz. (180 mL) of water For finest taste, use cold, filtered water and store ground coffee in a cool, dark place ",https://walmart.com/ip/6H83T4F24HK5,Food,/Ground Coffee,$4.48,4.8,264 ratings,"['3WAZ3AVUFO9X', '1REXDT8QQKGW', '43V1DKW13QMT', '4P6DGXBVUXPV', '60BD99E7Z3NO', '527RNZOBNMTJ', '4ILMS3RHIZ9U', '3JBAFDII94V5', '4EH5UNDYC7XV', '69VJM7NXDDZ4', '50L6SBD1B79S', '6F07Z5OSF5T1', '2IGHRI5F86DO', '74SG30GIFZS9', '7FIS5SQKHHHL', '4JDJK5CODVV4', '6ANR46D6JXEU', '1UKW2NJAD55Q', '2FW5LD0WPKPS', '1UKW2NJAD55Q', '2FW5LD0WPKPS', '4V239FQM27M0', '214TUK3CHK3B', '5XQEVKEU7ZY4', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
2O1LK75ZMK1C,The Coffee Bean & Tea Leaf Mexico Organic Dark Roast Ground Coffee 12 oz. Bag,"The beans for our Mexico Organic coffee come from a single estate located on the western slopes of the Sierra Madre range near Puerta Vallarta, Mexico. The area's 4,000-foot elevation and red clay-based soil make for near-ideal growing conditions. The Arabica burbon variety grown on the estate produces a delicate, yet refined flavor. The fully washed, fermented, and sundried beans are carefully processed with the latest ecological and processing technology available prior to export. Certified Organic by OCIA and USDA, we're proud to share our Mexico Organic coffee with you. About Our Coffee At The Coffee Bean & Tea LeafÂ®, the art of crafting the best tasting coffee requires respecting each individual roast. Knowing the specific origin and roast degree for each coffee allows for intense flavor that can be traced back to its earliest beginnings. Many coffee companies claim to search the world for the finest coffees, yet very few do. Our Coffee Master, Jay Isais, goes to the source of our coffee to guarantee it is the highest quality obtainable on earth. The partners who prepare our coffee at every level are extremely passionate people committed to providing ?Simply the Best? coffee to our customers. Quality has always been our No. 1 priority, and it will never be compromised. Dark roast coffee, hand-picked on the CafÃ© Cumbre Estate; Certified Organic by OCIA (Organic Crop Improvement Association) and USDA Smoky aroma, dark chocolate notes with a smooth finish 12-oz. ground coffee, vacuum-packed in resealable bag and freshness dated Medium grind coffee is ideal for most drip-type coffee makers and percolators. ",https://walmart.com/ip/2O1LK75ZMK1C,Food,/Ground Coffee,$6.48,5.0,8 ratings,"['1AF54MPWB9V3', '656QSMDK9Y7D', '5EET5510KC03', '41R3GQZFB9CJ', '5XQEVKEU7ZY4', '5Q4PDNCJS002', '4V9F6CKRJV7B', '2M66DJFKFZQG', '6ZHXSZEKOHIC', '6Y28ROXBE7Q8', '1F5YXCY7M2LD', '670AJRD9B79H', '1AZQLRUIC7NM', '7GXFQ63W1DS5', '6KPHJF3XTHI8', '4JDJK5CODVV4', '402NPWTD6MSP', '1UKW2NJAD55Q', '4P1N5OI676MQ', '3ZLSNNWXGRSO', '4P1N5OI676MQ', '402NPWTD6MSP', '1UKW2NJAD55Q', '214TUK3CHK3B', '22PIPDMKXLY7', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
10YKTKUSMEM7,"Seattle's Best Coffee House Blend Medium Roast Ground Coffee, 12-Ounce Bag","House Blend - Our signature blend, crafted from Latin American beans, is full avored, balanced, and smooth-roasted to perfection. So pull up a chair and a mug, and enjoy sipping on what we are proud to call our House Blend. Seattle's Best Coffee has a new look but the same premium beans, specially roasted for a smooth taste Our House Blend is a full-flavored, medium roast coffee--balanced and smooth-roasted to perfection--that was born in Seattle Our recommendation for a great cup of Seattle's Best Coffee is 1 tbsp (5 g) of ground coffee for every 6 fl. oz. (180 mL) of water For finest taste, use cold, filtered water and store ground coffee in a cool, dark place Each pack includes a 12-ounce bag of ground Seattle's Best Coffee ",https://walmart.com/ip/10YKTKUSMEM7,Food,/Ground Coffee,$3.99,4.8,97 ratings,"['3WAZ3AVUFO9X', '1REXDT8QQKGW', '43V1DKW13QMT', '4P6DGXBVUXPV', '3U41N8HFZWA1', '4ILMS3RHIZ9U', '7H4AR5UVFV5S', '3JBAFDII94V5', '74UWBQ4C3MSH', '406GTTXD4GHV', '4T7GB6LF1PZK', '4GUZ6RA1HKSG', '2N42DU4X8WO3', '2AIUGHQWLH8D', '4JDJK5CODVV4', '4OLBRH7CA9CO', '4V239FQM27M0', '2FW5LD0WPKPS', '6H4Z2QMGSZG9', '4OLBRH7CA9CO', '6H4Z2QMGSZG9', '2FW5LD0WPKPS', '135CLIQYUR6Y', '4V239FQM27M0', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
6EKG5CRIBZR4,Starbucks Decaf Ground Coffee — Caffè Verona — 100% Arabica — 1 bag (12 oz.),"We're updating the look of our packaging. You may receive either package while we transition to our new look. This is a decaf coffee of one true love and three names. We created it expressly for a Seattle restaurant in 1975, naming it Jake's Blend. And people loved it. So many, in fact, that we began hand scooping and blending it to order in our stores, where it was known as 80/20 Blend. The love was so strong that we finally made it official, calling it Verona after the city that inspires so many. By any name, this is a thing of pure romance. Decaf Caffe Verona coffee is well-balanced and rich with a dark cocoa texture We are currently updating our packaging look. You may receive either package for a limited time Enjoy the Starbucks coffee you love without leaving the house For finest taste, use cold, filtered water and store ground coffee in a cool, dark place Each pack includes a 12-ounce bag of ground Starbucks coffee ",https://walmart.com/ip/6EKG5CRIBZR4,Food,/Ground Coffee,$8.79,4.8,397 ratings,"['1QAJ6M58OS4C', '14LIMAH64EI6', '1Y7Q22WW56S0', '63M0VEXV3MF4', '2KDZ8QLK04VR', '4E1A28AYB8I5', '7DTPAFDHIR3S', '3TUC18RNJZUG', '2W6YSC8NLCNA', '1SDNT9PX15AC', '49JHBMWUC3TD', '6F07Z5OSF5T1', '4HIXRCNS2HSG', '1E3FEKIQ545N', '1UKW2NJAD55Q', '3PFLSOZ2FMHV', '4JDJK5CODVV4', '5N12KDK1QODL', '5R9AAH0WJ6ME', '5N12KDK1QODL', '5R9AAH0WJ6ME', '22PIPDMKXLY7', '6RGTUG2FTYG7', '2FW5LD0WPKPS', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
5R3YT0D70536,(2 Pack) McCafe Premium Roast Medium Ground Coffee 30 oz Can,,https://walmart.com/ip/5R3YT0D70536,Food,/Ground Coffee,$8.94,4.7,904 ratings,['Not available']
670AJRD9B79H,The Coffee Bean & Tea Leaf Kona Blend Light Roast Ground Coffee 12 oz. Bag,"It takes lush rains, intense sun, volcanic soils and a lot of aloha to create the distinctive characteristics of Kona coffee. Grown at 2,000 feet above the Kona Coast, Kona coffees are prized worldwide for their rich aromas, mild, delicate taste, and thick body. Our exclusive Kona Blend combines the world-renowned Kona beans with complimentary coffees to bring you an unforgettable cup. About Our Coffee At The Coffee Bean & Tea LeafÃÂ®, the art of crafting the best tasting coffee requires respecting each individual roast. Knowing the specific origin and roast degree for each coffee allows for intense flavor that can be traced back to its earliest beginnings. Many coffee companies claim to search the world for the finest coffees, yet very few do. Our Coffee Master, Jay Isais, goes to the source of our coffee to guarantee it is the highest quality obtainable on earth. The partners who prepare our coffee at every level are extremely passionate people committed to providing Ã¢ÂÂSimply the BestÃ¢ÂÂ coffee to our customers. Quality has always been our No. 1 priority, and it will never be compromised. Light roast coffee, hand-picked on Mt. Hualalai in Hawaii's Kona Coast region Macadamia nut aroma, creamy caramel flavor with a sweet finish 12-oz. ground coffee, vacuum-packed in resealable bag and freshness dated Medium grind coffee is ideal for most drip-type coffee makers and percolators. ",https://walmart.com/ip/670AJRD9B79H,Food,/Ground Coffee,$6.48,4.6,11 ratings,"['4V9F6CKRJV7B', '41R3GQZFB9CJ', '1K2SJ8PCKEEY', '7GXFQ63W1DS5', '282RBEXZRAWU', '63TJMHGS5IIV', '5Q4PDNCJS002', '1L1ZC6I66BLL', '6K1NCOMN2F7Q', '6G5P6S1L0V0L', '10JUZTZKP4OU', '3PVWPH6W1RR8', '105KO4XQO3GX', '6KPHJF3XTHI8', '6GRUC6NU4JKX', '7FIS5SQKHHHL', '4JDJK5CODVV4', '1UKW2NJAD55Q', '2VHRPO4LLYD4', '3ZLSNNWXGRSO', '24ZB4DY7TIYV', '2VHRPO4LLYD4', '1UKW2NJAD55Q', '4V239FQM27M0', '402NPWTD6MSP', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
7FOYTHNJF61S,"Great Value 100% Arabica Breakfast Blend Medium Ground Coffee, 32 oz","Beautifully blended, well-rounded and perfectly balanced, our Great Value Breakfast Blend is expertly roasted to ensure the complex yet smooth character of our exclusive 100% Arabica beans shines through. With its bright flavorsome notes and subtle undertones of sweetness, you can be assured a great start to your morning or a tasty treat any time of the day.  Start your day off right with a fresh, steaming cup of Great Value 100% Arabica Breakfast Blend Medium Ground Coffee. The medium roast Breakfast Blend features a bright citrus flavor that will perk you right up in the morning. This 32 ounce resealable package of smoothly ground coffee beans makes up to 113 delicious cups of Breakfast Blend flavored coffee that will impress even the pickiest of coffee drinkers. Amazing on its own, this coffee also tastes great with syrups, creamers or sweeteners. Excellent for breakfast with the family or brunch with friends, this perfectly packaged bag will earn a permanent place in your pantry or break room. With Great Value 100% Arabica Breakfast Blend Medium Ground Coffee, you'll have more energy to spend on the things in life that matter most.  Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time. 100% Arabica ground coffee Kosher Medium roast with bright citrus flavor 32oz resealable package makes up to 113 cups ",https://walmart.com/ip/7FOYTHNJF61S,Food,/Ground Coffee,$8.76,4.9,38 ratings,"['5V2UBOMLM7K3', '5RE0RKB73QQQ', '51P29QB4A9H5', '5O02URR1KKO9', '282RBEXZRAWU', '1PAQ55QTTQYQ', '5SFSS4TB4VGO', '6EEAJN1RG669', '5MS6W3MLLH5Z', '4ITL4L9XIG70', '7EYXC2EEXW04', '74UWBQ4C3MSH', '2XBK83R5ZWD4', '35Y10FGRYY79', '1FHEX02B4JX4', '4JDJK5CODVV4', '2FW5LD0WPKPS', '4V239FQM27M0', '7FIS5SQKHHHL', '1UKW2NJAD55Q', '1UKW2NJAD55Q', '2F0CP9SRLVWD', '13Y3NY9F6SAV', '0RD3Y3A14413', '214TUK3CHK3B', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '5R3YT0D70536', '61C8578EI6V8']"
5O4S3I3HOM5G,Starbucks Flavored Ground Coffee — Mocha — No Artificial Flavors — 1 bag (11 oz.),"Experience a match made in mocha heaven. Getting the perfect balance of coffee and cocoa notes is a science and an art that requires time and experience. This unique combination creates a richness you can indulge in every day. Starbucks Mocha Flavored Coffee is a medium-roasted coffee with just the right chocolaty richness Starbucks flavored coffees have the natural, caf-inspired flavors you love Enjoy the Starbucks coffee you love without leaving the house For finest taste, use cold, filtered water and store ground coffee in a cool, dark place Each pack includes an 11-ounce bag of ground Starbucks coffee ",https://walmart.com/ip/5O4S3I3HOM5G,Food,/Ground Coffee,$6.27,4.5,196 ratings,"['36QZLGJTGOWC', '0Y2BK0ZQ7O16', '24JXM8DL6L2X', '74UO6K8TQ6I1', '6X0S1R5EEUW2', '3FVXAXM4R9LG', '5IBBP75Y864I', '1G53OYY80WMM', '51SRFYUAZLHK', '1SDNT9PX15AC', '77Z8K4KFBP5Y', '5MS6W3MLLH5Z', '2CN2CJLSA439', '7944V5WGXT2D', '0VJA8DS4XW3V', '5N12KDK1QODL', '1AGWYNVFWYZL', '26RIEE0U04XE', '4JDJK5CODVV4', '78FJ2SYLL75W', '1AGWYNVFWYZL', '4DJAC1P6AAT1', '4JDJK5CODVV4', '26RIEE0U04XE', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
76MYEDUOKDGN,Starbucks Dark Roast Ground Coffee — Sumatra — 100% Arabica — 1 bag (12 oz.),"We're updating the look of our packaging. You may receive either package while we transition to our new look. Like the lush Indonesian island of its origin, this spicy coffee stands alone. Full-bodied with a smooth mouthfeel, lingering flavors of dried herbs and fresh earth and almost no acidity. Our roasters love transforming these unpredictable beans from dark coral green to tiger orange to a rich, oily mahogany, revealing bold flavors that many us of us can't live without. Coffee from Sumatra is the foundation of our most treasured blends and something we've been honored to share with you for four decades. Sumatra coffee is a dark-roasted, full-bodied coffee with spicy and herbal notes and a deep, earthy aroma We are currently updating our packaging look. You may receive either package for a limited time Enjoy the Starbucks coffee you love without leaving the house For finest taste, use cold, filtered water and store ground coffee in a cool, dark place Each pack includes a 12-ounce bag of ground Starbucks coffee ",https://walmart.com/ip/76MYEDUOKDGN,Food,/Ground Coffee,$6.27,4.7,753 ratings,"['1QAJ6M58OS4C', '14LIMAH64EI6', '1Y7Q22WW56S0', '63M0VEXV3MF4', '4CP4BBJ0H60G', '4GQSIRD5TR37', '11858ZRYB7NK', '2W6YSC8NLCNA', '3ZBHFJ1RI6YS', '4ITL4L9XIG70', '5Y0ZLSJIMCP2', '7IL0CC58ICRK', '6S83MK77TLHF', '4W5OQ8LIEEUU', '7FIS5SQKHHHL', '4JDJK5CODVV4', '1UKW2NJAD55Q', '402NPWTD6MSP', '5N12KDK1QODL', '402NPWTD6MSP', '5N12KDK1QODL', '1UKW2NJAD55Q', '135CLIQYUR6Y', '3ZLSNNWXGRSO', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
2E7OH7N39L8L,Starbucks Medium Roast Ground Coffee with Golden Turmeric — 1 bag (9 oz.),"The coffee you love is artfully blended with a delicate combination of golden turmeric and warm spices for even more to feel good about. Elevate your morning with these soothing flavors that pair wonderfully with balanced House Blend. CONTAINS: This 9-ounce bag of Starbucks Coffee with Golden Turmeric is a medium-roasted coffee with golden turmeric and warm spices THE TASTE YOU LOVE: We’ve combined our balanced and flavorful House Blend medium-roast coffee with a blend of ancient spices BALANCE IN EVERY CUP: Keep mornings and you in perfect balance with a delicate combination of golden turmeric and warm spices ANCIENT SPICES: Elevate your mornings with the soothing flavors of turmeric, ginger, black pepper and cinnamon STARBUCKS AT HOME: Enjoy the Starbucks coffee taste you love at home, with even more to feel good about ",https://walmart.com/ip/2E7OH7N39L8L,Food,/Ground Coffee,$5.97,4.4,219 ratings,"['7B8NOUB1HVGO', '1G53OYY80WMM', '66GPVMQCKO3D', '4KTZAN7C0MJ6', '1OX9SQT0XEDS', '5STN8B68DEQV', '3VQCZ55AWTN5', '6G5P6S1L0V0L', '27A328KYO6GT', '6S83MK77TLHF', '3PVWPH6W1RR8', '1Y7Q22WW56S0', '4SZ0XO9RNKNB', '36QZLGJTGOWC', '1V71GP3J4OYL', '7B8NOUB1HVGO', '3O42NE48FYSH', '1V71GP3J4OYL', '59WJAQ1FOOQS', '36QZLGJTGOWC', '1Y7Q22WW56S0', '5O4S3I3HOM5G', '3PVWPH6W1RR8', '0Y2BK0ZQ7O16', '74UO6K8TQ6I1', '7JZVIDAULABR', '61C075YCZWOW', '5ZV5PLZ362ND', '6QNBYZOT60BR', '5R3YT0D70536']"
