Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count,Recommended_Prods
7AWRGWHSBI0Y,Oregon Files: Final Option (Series #14) (Paperback),"Juan Cabrillo fights the worst enemy from his past to the terrifying and unexpected ending in the latest action-packed thriller in the #1 New York Times-bestselling series created by the Grand Master of Adventure, Clive Cussler. When the CIA realizes the identities of three American spies in Brazil have been compromised, they turn to Juan Cabrillo and the crew of the  Oregon to rescue the agents. What seems a routine operation turns out to be a trap designed by Juan Cabrillo's greatest enemy, a man driven by hate to seek the ultimate revenge. At the heart of the plot is a state-of-the-art ship that is identical to the  Oregon same weaponry, same technology, same ability to evade capture. The only thing it doesn't have is Cabrillo and his talented crew. But will they be enough to go up against the one ship that rivals their own?  The crew of the  Oregon must piece together a series of disturbing events, including the mysterious sinking of a nuclear attack submarine and the possible discovery of a WWII-era weapon that was thought to be lost in the jungles of Brazil, in the ultimate game of cat and mouse.• Author: Clive Cussler,Boyd Morrison • ISBN:9780525541837 • Format:Paperback • Publication Date:2020-09-29",https://walmart.com/ip/7AWRGWHSBI0Y,Books,/Action & Adventure Novels,$7.48,0.0,0 ratings,"['6HLMPT5Q4JR5', '1CJRMHNOIJ5E', '78U5IUD9QGCI', '7E8O9TUUNYRP', '3I28C09PFYAU', '29OXLM36T0NW', '14V7CY3U6ZVM', '5GMCTEQUWGJ8', '1EP5Y8CTH4NW', '12EL6D5PRAQM', '0YJWNSJ3SNQN', '12EL6D5PRAQM', '3JEH71A11DX4', '5XESQJSR4IN8', '3WS0U5VBQC9W']"
4V08ISC1LQOY,Stephanie Plum Novels: Ten Big Ones & Eleven on Top: Two Novels in One (Paperback),"How much trouble can Stephanie Plum get herself into? Only she can count the ways. in this special two-novels-in-one volume edition from #1 New York Times bestselling author Janet Evanovich that will keep readers laughing until the last page. Ten Big Ones. Stephanie, facing a notorious gang in Trenton who want her dead, believes Morelli when he warns her that she's in too deep. But the gang won't let her bow out. And now, with Ranger missing in action, Stephanie has to go into hiding, only to stumble on to the secret location of Ranger's ""bat cave."" Is it the perfect place to disappear? Or will she get into more trouble than she knows by delving into his private world? Eleven on Top. Trouble seems to find Stephanie no matter where she goes and now, yet again, she's struggling with her tangled love life, her chaotic family, and her God-given gift for destroying every car she drives. So what's a bounty hunter to do? Quit! Stephanie is ready to live a safe life. Be normal. She's tired of creeps, weirdos, and stalkers. But just when she thinks she's out, they pull her back in. ""Evanovich is the master."" San Francisco Chronicle• Author: Janet Evanovich • ISBN:9781250620774 • Format:Paperback • Publication Date:2020-07-28",https://walmart.com/ip/4V08ISC1LQOY,Books,/Romantic Comedy Books,$7.48,0.0,0 ratings,"['1RL37F45Q721', '7ECXQXOOA43R', '1LND72VYKLRN', '78VHTC5IGW4P', '2LEAZBQSW45J', '59U4PU1H07EA', '3SR1ELG3S6NQ', '64PIIXY6XF1L', '3BKWXDFD8HZL', '6JHVLLX7MC2U', '46EEALZ6K52E', '2YW0P91CNIWX', '40Z926968PZ4', '5JWASINHYIG8', '31JP6VW8YOW7']"
1DU4LCZ2RR96,They Came to Kill,"Johnstone Justice. Double Barreled.     When a legendary frontiersman teams up with a legendary mountain man, the wild west will never be the same. But first they've got to live up to their legends--or die trying . . .     THEY CAME TO KILL     There are some things in this world that can't be stopped. Like progress, a moving train, and the American Dream. When the bigwigs in Washington decide to build a transcontinental railroad to the West Coast, they need a man who's just as unstoppable to clear a path through Mexican territory. That man is Jamie MacCallister. Jamie knows it's a tough job. The territory is overrun with Apaches. The Apaches are gunning for a fight. And the first patrol sent in by the President has already been ambushed, kidnapped, and most likely killed.  Jamie knows he can't take on the whole Apache nation by himself. He needs help. He needs back-up.     He needs a non-stop force of mountain-man fury who goes by the name of Preacher . . .     Live Free. Read Hard.Johnstone Justice. Double Barreled.     When a legendary frontiersman teams up with a legendary mountain man, the wild west will never be the same. But first they’ve got to live up to their legends—or die trying . . .     THEY CAME TO KILL     There are some things in this world that can’t be stopped. Like progress, a moving train, and the American Dream. When the bigwigs in Washington decide to build a transcontinental railroad to the West Coast, they need a man who’s just as unstoppable to clear a path through Mexican territory. That man is Jamie MacCallister.  Jamie knows it’s a tough job. The territory is overrun with Apaches. The Apaches are gunning for a fight. And the first patrol sent in by the President has already been ambushed, kidnapped, and most likely killed.  Jamie knows he can’t take on the whole Apache nation by himself. He needs help. He needs back-up.     He needs a non-stop force of mountain-man fury who goes by the name of Preacher . . .     Live Free. Read Hard.",https://walmart.com/ip/1DU4LCZ2RR96,Books,/Western Novels,$5.98,5.0,4 ratings,"['26G0J8KVEHDB', '1QKIWEGT4S5L', '702LH3WNJWO2', '5NYBLAXC6WUH', '78U5IUD9QGCI', '4DL1FO8RF1I9', '3I28C09PFYAU', '1MP2XZDEN475', '1TOWVJNFUQA3', '28WWSHTC1OW9', '2QZOPF0TJ0FP', '6BG6LRPNM70K', '3483W377VJ5S', '3PLST08EX51Y', '1MP2XZDEN475', '49ZQJ0X4MBPG', '3C2E2XJ2I4R6', '1ZV1TFD6FTDE', '622FKYL1NTTX', '3IPRBEGGWDVA', '4OC9TTC4Z5C5', '3IPRBEGGWDVA', '49ZQJ0X4MBPG', '3C2E2XJ2I4R6', '1ZV1TFD6FTDE']"
42Y5BS3LVZMX,Ashes of Her Love (Paperback),"After the burning blaze of a failed relationship, she is often left alone to deal with the smoking aftermath. Best-selling author Pierre Alex Jeanty helps to bring clarity and understanding to the countless women who are faced with the reality of heartbreak. Ashes of Her Love exposes the fire for what it truly was, and encourages women to drown out the embers that threaten to reignite. With this book, women are inspired to free themselves from the weight of dead relationships, find freedom in walking away, and are empowered to stay away and avoid the reoccurring cycle of heartache. If you’re in a dying relationship, walking away from a terrible love story, learning to put what is no longer good in the past, Ashes of Her love is the fire you need to turn the pages and start writing a new love story. The ending is just the beginning…  Paperback: 78 pages Publisher: Pierre Jeanty (August 12, 2019) Language: English ISBN-10: 1949191109 ISBN-13: 978-1949191103 Product Dimensions: 5 x 0.2 x 8 inches Shipping Weight: 1.6 ounces  • ISBN:9781949191103 • Format:Paperback • Publication Date:2019-08-12",https://walmart.com/ip/42Y5BS3LVZMX,Books,"/Death, Grief & Loss Poetry Books",$16.18,0.0,0 ratings,"['30TSOU69E24P', '35CD20RFAQ9Y', '3UJK7GOHPMRP', '1U192DK9HLZL', '7A2P2JR52IQ0', '19PY7XQIW6VD', '3B3WBZ9L0C9C', '6M5F8U7O4406', '77HYKWGVRDOY', '2XX8NQ995QMQ', '69G153T62KUC', '1WS8KBTN1C7U', '1TWIILU94ZEV', '1EP5Y8CTH4NW', '12EL6D5PRAQM', '28S1VX6V8K6M', '12EL6D5PRAQM', '5KKDO7WPP7C5', '2YJV5NNFK7V3', '4GO2I8X3ZZYH']"
1MMSOZOG8Z19,A Second Glance (Paperback),"Shadow Chasing: The last man Carla Walker is going to count on is a cop--as far as her love life's concerned. Her dad is a police officer, so she's already decided that's not the kind of future she wants. She knows about the long hours, the unpredictable calls, the danger. Carla meets Philip Garrison on vacation, and it's more than a holiday fling. She falls for him. Hard. And then she learns he's a cop...  Sometimes to find love you have to try again... Shadow Chasing  The last man Carla Walker is going to count on is a cop--as far as her love life's concerned. Her dad is a police officer, so she's already decided that's  not the kind of future she wants. She knows about the long hours, the unpredictable calls, the danger. Carla meets Philip Garrison on vacation, and it's more than a holiday fling. She falls for him. Hard. And then she learns he's a cop...   Yesterday Once More Three years ago, Julie Houser fled from Wichita, Kansas--and left her husband-to-be practically standing at the altar. Julie couldn't face the vast disparity between her own middle-class background and his family's wealth, not to mention his mother's disapproval. But she never got over Daniel, and now she's back, hoping she can convince him to give marriage another chance.• Author: Debbie Macomber • ISBN:9780778309420 • Format:Paperback • Publication Date:2020-04-21",https://walmart.com/ip/1MMSOZOG8Z19,Books,/Romance Collections & Anthologies,$9.99,0.0,0 ratings,"['0SXSFRYHACIU', '6DQ4HTC33VMP', '50WSCO1NNHMC', '6OXFA6PWT3C9', '57N4S50VSSVN', '1HB4LRX1BR1M', '29BLQKHXGRBK', '3BJEDXSS9KW2', '25Z247RBFE3O', '0VK9WJ0FAO5M', '2BVB1VGMF0MF', '1H5XOKSYPWBN', '7IBLQS8EHFK1', '7DP29AHIEQSJ', '3BRCQQU2YD9J', '2YJV5NNFK7V3', '29OXLM36T0NW', '75CU8FUCX6EE', '1EP5Y8CTH4NW', '12EL6D5PRAQM', '1EP5Y8CTH4NW', '12EL6D5PRAQM', '5GMCTEQUWGJ8', '0YJWNSJ3SNQN', '5KKDO7WPP7C5', '7BJESVUQURW9', '7HQ4YLMTY2SO', '16QURV7VCF21', '2477W6MUK478', '5RYYEBYJOBPC']"
767EXX0WN90M,The Woman in the Window,,https://walmart.com/ip/767EXX0WN90M,Books,/Adult Fiction Top 100,$7.98,4.2,92 ratings,['Not available']
4MSW0842DMDG,"Green Mountain Blessings, 2: An Amish Easter Wish (Paperback)","Fixing a family isn't what she signed up for...   Patching hearts wasn't the plan... But this father and daughter need her help. Overseeing kitchen volunteers while the community rebuilds after a flood, Abby Kauffman doesn't expect to get in between  Englischer David Riehl and the orphaned teenager he's raising. But Abby can tell David is struggling, and she's determined to help him bond with the girl. Might Abby be the missing ingredient to bring this makeshift family together for Easter?Green Mountain Blessings: An Amish Easter Wish (Paperback)",https://walmart.com/ip/4MSW0842DMDG,Books,/Contemporary Romance Books,$17.64,5.0,1 ratings,"['4YB1K30TNRJ9', '3J03Z9K5TH02', '6H24A38OZKY1', '5K5O6M6ECPVT', '4ABKQMSN488J', '4CM7HTZMB6MA', '516QGJQ74E0N', '28VK59K6TGKW', '5O0DR3CVVC0Y', '0SXSFRYHACIU', '75CU8FUCX6EE', '2YJV5NNFK7V3', '29OXLM36T0NW', '14V7CY3U6ZVM', '1S0QU7DM4QCG', '143YOJTWDLV4', '5XESQJSR4IN8', '5GMCTEQUWGJ8', '3JEH71A11DX4', '1EP5Y8CTH4NW']"
3NJ0G4O704T0,The Black Dagger Brotherhood World: Prisoner of Night (Paperback),"From #1 New York Times bestselling author J.R. Ward comes an unforgettable story of passion and vengeance in the world of the Black Dagger Brotherhood.  When Ahmare's brother is abducted, there is nothing she won't do to get him back safely. She is unprepared, however, for the lengths she will have to go to save his life. Paired with a dangerous but enticing prisoner, she embarks on an odyssey into another world.  Duran, betrayed by his father, imprisoned in a dungeon for decades, has survived only because of his thirst for vengeance. He has been biding his time to escape and is shocked to find an unlikely and temporary freedom in the form of a determined young female.  Battling against deadly forces and facing unforeseen peril, the pair are in a race to save Ahmare's brother. As time runs out, and the unthinkable looms, even true love may not be enough to carry them through.From #1 New York Times bestselling author J.R. Ward comes an unforgettable story of passion and vengeance in the world of the Black Dagger Brotherhood.  When Ahmare’s brother is abducted, there is nothing she won’t do to get him back safely. She is unprepared, however, for the lengths she will have to go to save his life. Paired with a dangerous but enticing prisoner, she embarks on an odyssey into another world.  Duran, betrayed by his father, imprisoned in a dungeon for decades, has survived only because of his thirst for vengeance. He has been biding his time to escape and is shocked to find an unlikely and temporary freedom in the form of a determined young female.  Battling against deadly forces and facing unforeseen peril, the pair are in a race to save Ahmare’s brother. As time runs out, and the unthinkable looms, even true love may not be enough to carry them through.",https://walmart.com/ip/3NJ0G4O704T0,Books,/Fantasy Romance Books,$6.74,5.0,1 ratings,"['2YOFSHGYC72W', '7HEPH782G869', '3VZ8FJ58F54W', '4DLP2WAWCT2E', '5WJ08QHG9THH', '55CJ5IZZ7D5K', '6MCPYC9KSWZR', '1VF1Y2QEVM84', '4IYT56CODF93', '76WKKX3LZIQO', '46MM81VOTYZ9', '5HT2HO9VYXQA', '43TMAOSRX8TV', '6L5DR1BJDWRL', '42QNK98GW5QV', '1TWIILU94ZEV', '5GMCTEQUWGJ8', '4GO2I8X3ZZYH', '404QCQC954LE', '63775GSJAGAA', '69G153T62KUC', '63775GSJAGAA', '3LMGUVQ6E6B4', '2OI5VI35DA4X', '251YR8B3T5ON']"
67QCQQKFMA8Y,Sailing at Sunset : A Feel-Good Romance from Hallmark Publishing (Paperback),"She can handle anything in her job. Even a week on a boat with a handsome but annoying sailor.  Josh tells himself he's the luckiest guy in the world. Living on his sailboat and taking tourists on occasional chartered trips, he's not tied down to routines and responsibilities. He even named his sailboat Solitude, because that's what he enjoys much of the time.   Danae works at a boat company, and she just got promoted--sort of. To keep her dream job, she must get her opinionated coworkers to all agree on a marketing plan. Her boss directs her to set up a week-long sailing tour with them as a work trip and a bonding experience.   At first, Danae isn't completely on board with Josh's laid-back approach to the excursion. But during visits to quaint New England towns and seafaring adventures, she and Josh start to see one another's true colors...and Josh begins to question his solitary life.   This feel-good romance includes a free Hallmark original recipe for Crunchy Salmon Cakes.• Author: Cindi Madsen • ISBN:9781947892750 • Format:Paperback • Publication Date:2020-07-21",https://walmart.com/ip/67QCQQKFMA8Y,Books,/Contemporary Romance Books,$14.39,5.0,1 ratings,"['4CM7HTZMB6MA', '516QGJQ74E0N', '28VK59K6TGKW', '5O0DR3CVVC0Y', '0SXSFRYHACIU', '26NL02AJ3JWH', '679MJ4D0LZ8G', '1EJFQVOCR5LT', '2VNKUI1U9MQA', '4ES4G6U9CU9X', '6QMJPQD4IN5U', '13PVIT80U6TM', '2VYZ7DBYPVEB', '36YQQ6UGZ79J', '6JVMR6T1WZYE']"
2E0FR3UXVYVQ,Rhythm of War,"The Stormlight Archive saga continues in Rhythm of War, the eagerly awaited sequel to Brandon Sanderson's #1 New York Times bestselling Oathbringer, from an epic fantasy writer at the top of his game.  After forming a coalition of human resistance against the enemy invasion, Dalinar Kholin and his Knights Radiant have spent a year fighting a protracted, brutal war. Neither side has gained an advantage.  Now, as new technological discoveries begin to change the face of the war, the enemy prepares a bold and dangerous operation. The arms race that follows will challenge the very core of the Radiant ideals, and potentially reveal the secrets of the ancient tower that was once the heart of their strength. • Author: Brandon Sanderson • ISBN:9780765326386 • Format:Hardcover • Publication Date:2020-11-17",https://walmart.com/ip/2E0FR3UXVYVQ,Books,/Epic Fantasy Books,$28.99,0.0,0 ratings,"['6XN0RTTHPF9H', '2KBSH55VR1NO', '18S1L9X7BL08', '3WHEHMLZKAJM', '30CFZAIMD9YO', '1TWIILU94ZEV', '6ODLOLRIDQEF', '3C2E2XJ2I4R6', '1WFKM8BVLMHK', '3AELOAFIPVD5', '3C2E2XJ2I4R6', '70HLT9FJ6Y85', '3AELOAFIPVD5', '6ZDHHDVPWRUX', '1WFKM8BVLMHK']"
