Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count,Recommended_Prods
459OBW2FLI85,Maternity Oh! Mamma Straight Leg Jeans with Full Panel (Available in Plus Size),,https://walmart.com/ip/459OBW2FLI85,Clothing,/Maternity Jeans,$18.99,3.6,150 ratings,['Not available']
3YAABV57VO6D,"Secret Treasures Women’s Slipper Socks Double Cuffers, 2-Pack",,https://walmart.com/ip/3YAABV57VO6D,Gifts & Registry,/Gift Finder,$9.94,0.0,0 ratings,['Not available']
56UFY6N443ZN,Children's Striped Tights,,https://walmart.com/ip/56UFY6N443ZN,Party & Occasions,/Kids' Halloween Costumes,$8.89,5.0,3 ratings,['Not available']
7L7QUXZGD7K8,"($140 Value) Revision Skincare D.E.J Face Cream, 1.7 Oz","Revision Skincare D?E?J Face Cream, 1.7 Oz - This antioxidant-rich facial cream approaches facial aging in a comprehensive new way, as inspired by the Dermal Epidermal Junction (DEJ). Using a proprietary ceramide blend, specialized herbal extracts, and a unique peptide combination for proven results, DEJ Face Cream adds volume and plumps the appearance of thinning skin. Dermatologist-recommended; clinically proven to reduce the look of wrinkles and fine lines. Dispense 1 to 2 pumps into palm of hand and gently apply onto face, avoiding the eye area. Allow product to absorb before applying sunscreen in the morning. Apply to clean skin in the evening.Revision Skincare D.E.J Face Cream, 1.7 Oz",https://walmart.com/ip/7L7QUXZGD7K8,Beauty,/Facial Moisturizers by Skin Type,$89.99,4.7,14 ratings,"['3TS2H0H2LBB7', '7CG1SGHR6J55', '0W7G8S7R7031', '11QW7UJEV36O', '7EA474QFZ2P2', '5DOGN3CV80FN', '47S2TA3R935S', '6GD24GFJR535', '0YFHZSN863IX', '4MY0FITGNR7N', '7IQHXNI4LYO0', '1F3B3ISN8LN2', '7EBKFDLMZ6G2', '530M12P762C8', '4JEH8VR8JIXE', '1XXTXUX8OMA8', '4ND6PUMTMLSW', '4C016L0I9QO4', '7KFKTTWWEDZ6', '4OS2NPD1LV3T', '1JK5ITDPG43I', '2JZG23L47HNN', '5FDM7OF7NC7T', '6QI4FPDD0NPF', '4WZ7BG0DNNBM', '75JDQU5A872A', '1B0HMW9L46GL', '4V1MLE9MYM95', '144QMRRHD5LB', '1HR258YX44MA']"
6YCE4HZJ452F,"Women's Sheer Garter Belt Panty Hose, Black, One Size",,https://walmart.com/ip/6YCE4HZJ452F,Party & Occasions,/Halloween Themed Clothing,$9.87,4.0,3 ratings,['Not available']
45V2X461XKTK,Champion Men's Raglan Baseball T-shirt,,https://walmart.com/ip/45V2X461XKTK,Shop by TV Show,/90s Toys Shop All,$8.58,4.6,49 ratings,['Not available']
715ZKXYF57S8,"Champion Men's Long Sleeve Performance T-Shirt, up to Size 3XL",,https://walmart.com/ip/715ZKXYF57S8,Shop by TV Show,/90s Toys Shop All,$10.57,4.4,52 ratings,['Not available']
4GO9T4QGSFJQ,Champion Men's Classic Jersey Tee,,https://walmart.com/ip/4GO9T4QGSFJQ,Shop by TV Show,/90s Toys Shop All,$11.49,4.4,909 ratings,['Not available']
1R64M7KS38US,Champion Men's Short Sleeve Performance T-Shirt,,https://walmart.com/ip/1R64M7KS38US,Shop by TV Show,/90s Toys Shop All,$8.36,4.7,78 ratings,['Not available']
2TAW0K4W87BT,Champion Men’s Classic Graphic Long Sleeve Tee,,https://walmart.com/ip/2TAW0K4W87BT,Shop by TV Show,/90s Toys Shop All,$14.90,4.6,262 ratings,['Not available']
0WZLL512SGVE,Skechers Work Relaxed Fit Holdredge - Rebem Steel Toe Hikers (Men's),,https://walmart.com/ip/0WZLL512SGVE,Industrial & Scientific,/Manufacturing & Warehouse Foot Protection,$64.95,4.6,136 ratings,['Not available']
6NONR8FSMYHU,"Bates Code 6.2 8"" Side Zip Tactical Boot (Men's)",,https://walmart.com/ip/6NONR8FSMYHU,Industrial & Scientific,/Tactical & Military Foot Protection,$49.95,4.8,15 ratings,['Not available']
73BYZ9LS61OG,Genuine Gear Cotton Polyester Ripstop Tactical Military Uniform Pants,,https://walmart.com/ip/73BYZ9LS61OG,Sports & Outdoors,/Men's Hunting Pants,$29.99,4.6,87 ratings,['Not available']
5KFBVJN14CAU,"Mossy Oak Men's Camo Performance Hunting Pant, Mossy Oak Breakup Country, Size X-Large","These Men’s Lightweight Pants made of lightweight stretch polyester spandex are great for early season hunting or anytime the temp climbs. Rain-Factor™ Water Repellent Technology repels water from the surface of the fabric to help you stay dry. Articulated Knees allow freedom of movement to meet the demands of a rigorous hike in or out. Two hand pockets, two gusseted cargo pockets with dual snap closures, and one back pocket provide ample storage without worry of anything falling out. Reinforced kick plates ensure durable from extended use.  Mossy Oak Men's Camo Performance Hunting Pant, Mossy Oak Breakup Country, Size X-Large:  Lightweight Stretch Polyester Spandex Water Repellent Technology Articulated Knees Two hand pockets, two gusseted cargo pockets with dual snap closures, and one back pocket Reinforced kick plates  ",https://walmart.com/ip/5KFBVJN14CAU,Sports & Outdoors,/Men's Hunting Pants,$28.42,4.7,3 ratings,"['6KE2G006K5R9', '5G0AY3E7QQWY', '1G9DDG6BWF3T', '1T1K1DZ8XWRR', '4JWADKJR5DS9', '5CF4M0TQBHCX', '3RXS9PGX9ECP', '7K2JK3QDSTNN', '2B9BVRVEM5JV', '5OLY8TZOZQ1Y', '1DAO8BAO9B59', '4M4RHMBQ797P', '2QV1149IWJYH', '4GPT07B47RZN', '127H2TN6T375', '0ZALQZF3M46U', '43V784N7VJ83', '3QP4KID6DB2W', '276Q88JTIWYI', '0ROJVM4S0Q1S', '0XFW679IE0WW', '0Z0ZW8KMRGDZ', '4FHDIROYS3N4', '6ABLCLSFBG1S', '6CE8LREWTMXJ']"
2QOQQO05LCUP,Women's Bearpaw Boshie Wide Boot,,https://walmart.com/ip/2QOQQO05LCUP,Gifts & Registry,/Gift Finder,$54.95,4.7,10 ratings,['Not available']
1LT15HKC170L,Mizuno Players Trainer 2 Softball Turf Shoe,,https://walmart.com/ip/1LT15HKC170L,Sports & Outdoors,/Womens Softball Cleats,$34.86,4.2,17 ratings,['Not available']
6HHIPLOPRXGJ,Champion Men's Classic Jersey Muscle Tee,,https://walmart.com/ip/6HHIPLOPRXGJ,Shop by TV Show,/90s Toys Shop All,$12.31,4.5,105 ratings,['Not available']
77D06LZEKU5D,"Mendyl Vinyl Siding Repair Kit, Cover Any Cracks, Holes, or Blemishes on Vinyl Siding - 2 Patches",,https://walmart.com/ip/77D06LZEKU5D,Home Improvement,/Siding & Exterior Trim,$14.99,3.3,18 ratings,['Not available']
1R64M7KS38US,Champion Men's Short Sleeve Performance T-Shirt,,https://walmart.com/ip/1R64M7KS38US,Shop by TV Show,/90s Toys Shop All,$8.36,4.7,78 ratings,['Not available']
6MTE829V6ZNL,Men's Realtree Short Sleeve Fishing Guide Shirt,,https://walmart.com/ip/6MTE829V6ZNL,Sports & Outdoors,/Fishing Shirts,$14.88,4.9,81 ratings,['Not available']
4GO9T4QGSFJQ,Champion Men's Classic Jersey Tee,,https://walmart.com/ip/4GO9T4QGSFJQ,Shop by TV Show,/90s Toys Shop All,$11.49,4.4,909 ratings,['Not available']
6UITCR8YUMJN,Dickies Women's Relaxed Straight Stretch Twill Pant,,https://walmart.com/ip/6UITCR8YUMJN,Shop by Brand,/Dickies,$29.99,3.9,385 ratings,['Not available']
613ANXDNSNPG,Men Tracksuit Jogging Coat Top Bottom Sport Sweat Suit Hoodie Trousers Pants Set,,https://walmart.com/ip/613ANXDNSNPG,Health,/Get Comfortable,$29.99,0.0,0 ratings,['Not available']
5GB6Q7INP4D0,Champion Men's Classic Cotton Long-Sleeve Tee,,https://walmart.com/ip/5GB6Q7INP4D0,Shop by TV Show,/90s Toys Shop All,$13.24,4.5,219 ratings,['Not available']
793MG04NNAYX,Men's Realtree Long Sleeve Fishing Guide Shirt,,https://walmart.com/ip/793MG04NNAYX,Sports & Outdoors,/Fishing Shirts,$18.88,4.8,46 ratings,['Not available']
