Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count,Recommended_Prods
4Z3G9QTI6XID,LapGear MyDesk Lap Desk - Black,,https://walmart.com/ip/4Z3G9QTI6XID,Office Supplies,/Lap Desks,$19.99,4.8,14 ratings,['Not available']
2XNCYAS7Y5PI,"KARMAS PRODUCT Bamboo Laptop Desk, Adjustable Leg Breakfast Serving Bed Tray, Folding Notebook Standing Table with Drawer","KARMAS PRODUCT bamboo laptop desk with a tilting carved surface and adjustable legs is suitable for using as a laptop table, reading desk, breakfast tray, coloring table, working desk in bed, on the floor, sofa, recliner, car, and when travel. We use 100% natural bamboo as its construction which is the most eco-friendly and more durable than maple and oak. With two flowers shape on the surface,the heat of the laptop can be easily dissipated, the leg of the laptop table is adjustable to make sure everyone can put his& her legs comfortably.    Please Kindly Note: The desk stopper is shipped in the side drawer, check it if you can't find it.    Specifications:  Material: 100% Bamboo       Product Size: 21.6” Lx 13.4” W x 12.2” H   Large Tilt Tray: 14.5” L x 13.4” W   Adjustable Height: 8.6"" - 12.22""   Product Weight: 5.7lbs     Assembly: No Need   Package Contents:   1 x Laptop Table   1 x Safe Stopper 100% natural bamboo, environment friendly and sturdy; Hollowed out and two flowers shape on the surface, easy to dissipate the heat Multifunctional lap stand used as a laptop desk, but also as dinner tray, serving desk for patients, standing desk for office workers, book tray for readers, writing desk for students, tablet pad holder and standing desk or stand up desk Adjustable legs' length from 8.6” to 12.2”; 4 slots to adjust 4 different tray tilting angle, supporting more cozy sight line. Eye-level sight's situation is good to prevent ache of back and waist Convenient cup-groove; Small built-in drawer for storing pen, note pad, USB cable, flash disk, paper clips and more; A stopper preventing lap from slipping from the desktop Portable tray size: 21.6 Lx 13.4 W x 12.2 H inches; Perfect for laptop up to 19” ",https://walmart.com/ip/2XNCYAS7Y5PI,Office Supplies,/Lap Desks,$29.99,4.0,11 ratings,"['7EZBIQ8FQ5BB', '6UPCN8TCKAVD', '4AG6S2XBAIKX', '3ED9BL35MPSG', '77FUEIHW8FPL', '1TUHL3I9MKQS', '0ZW83UY97IC1', '19S4I8OH5JGG', '5VPJPQ2T6J5B', '509ES4799837', '4ZNI0RZQBMQG', '2VKMX27ZHU74', '1ID6SRHH86N1', '6WG4F6POSCW2', '2APC68CH0V8R', '2YLJUU02VE11', '40X8NAQND0OI', '3LGBC8Y01YZM', '1ZGAAOLRS8SZ', '4HOMX1QTATZL', '251U5LN21813', '4BDN3N7BQRW9', '65EH19PVJEAW', '1NM05EVROEX0', '73NVA0KOF7XE', '6U7CPE6M22X3', '40X8NAQND0OI', '2Y9QC4G7QZS2', '4P7YHOHEJZZA', '7FXDFVQVNTGL']"
7EZBIQ8FQ5BB,Costway Portable Bamboo Laptop Desk Table Folding Breakfast Bed Serving Tray w/ Drawer,"this is our portable Laptop Table which is made of bamboo and is perfect for studying, computer work or Bed Work. u can rise it up to the comfortable position. The desktop has a fan shaped design that serves as a way to dissipate heat away from your computer. Furthermore, this table even includes a cup groove that allows you to enjoy a coffee or tea.What are you waiting for!   Feature  High quality Durable and lightweight bamboo Construction easy to be cleaned and environmental friendly smooth, natural finish Adjustable tabletop Fan shaped design that serves as a way to dissipate heat away from your computer a cup groove for beverages and a convenient slide out drawer Features magnetic locking mechanism Specification  Color:Wood Material:Bamboo Overall size:21.7''(L)X13.8''(W)X8.7''(H)��12''(H) Package includes:1XLaptop Desk   Durable and lightweight bamboo Construction smooth, natural finish Adjustable tabletop Fan shaped design that serves as a way to dissipate heat away from your computer Overall size:21.7''(L)X13.8''(W)X8.7''(H)X12''(H)  ",https://walmart.com/ip/7EZBIQ8FQ5BB,Office Supplies,/Lap Desks,$39.99,4.8,77 ratings,"['60ELB6LJBD5Z', '334CN65P1TQG', '1ID6SRHH86N1', '2Y95VXO8UFSG', '4AG6S2XBAIKX', '0ZW83UY97IC1', '187ZO9DU4OYP', '1N0L62ESNHQV', '1J9CDLOPA57A', '5056VNDXD600', '4ZNI0RZQBMQG', '5G3K05I470L5', '7JAAWO3FMYWZ', '62SVL1IDTF0P', '3PYQZ2OLR5WJ', '2YLJUU02VE11', '3LGBC8Y01YZM', '4HOMX1QTATZL', '4BDN3N7BQRW9', '40X8NAQND0OI', '65EH19PVJEAW', '251U5LN21813', '1NM05EVROEX0', '1BGA29AL212Q', '73NVA0KOF7XE', '509ES4799837', '19S4I8OH5JGG', '6U7CPE6M22X3', '1TUHL3I9MKQS', '40X8NAQND0OI']"
1ET2SHQB0J3P,"1Pc Adjustable Bamboo Rack Shelf Dormitory Bed Lap Desk Portable Book Reading Tray Stand, Laptop Bed Table, Bed Desk","Description: Our bed lap desk is made of natural bamboo material with exquisite workmanship, eco-friendly and durable to use. It has many smart designs, such as an anti-slip baffle, a small drawer, a cup groove, lifting table leg and laptop holder etc. It also has ventilation holes on surface for timely heat emission. Foldable and light weight is perfect for using in your home bed, sofa etc. Worth buying for your family!  Features:  Made of high-quality bamboo material with exquisite workmanship, natural, environmental-friendly, safe, sturdy and durable to use. Excellent craftsmanship. With flower shaped & striped shaped ventilation holes on surface for timely heat emission. The anti-collision desk horn can preventyou being scratched. The design of a button is used to adjust thetable legs. It also has many other smart designs: Adjustable desk panel for you comfortable reading, an anti-slip baffle that laptop won't full down easily, a small drawer for storing items, a groove for putting cup, a line cord slop that used for fan' line cord. Reasonable size, foldable and light weight that can be perfectly used in your home bed, sofa etc. It also can be used as a great gift for your families or friends.   Specification: Condition: 100% Brand New Material: Bamboo Color: Shown as picture Table Extend Length: Approx. 53-58.8cm / 21inch-23inch Width: Approx. 23.4cm / 9.2inch Removable Desk Panel Length: Approx. 29.7cm / 11.7inch Anti-slip Baffle Length: Approx. 15.8cm / 6.2inch Table Extend Height: Approx. 31.2-37.7cm / 12.2-14.8inch Leg Length: Approx. 18.3-26.5cm / 7.2-10.4inch Weight: Approx. 2.1kg  Package Included: 1 x Bamboo Laptop Desk   Reasonable size, foldable and light weight that can be perfectly used in your home bed, sofa etc. It also can be used as a great gift for your families or friends. ",https://walmart.com/ip/1ET2SHQB0J3P,Office Supplies,/Lap Desks,$26.98,4.4,7 ratings,"['6OYB82JRETDZ', '3WIQZNM2SFDS', '1W2TVIQ6G5JQ', '4TJLU7FE35LF', '79TXDMP33Y5H', '0ZW83UY97IC1', '1TUHL3I9MKQS', '19S4I8OH5JGG', '5VPJPQ2T6J5B', '509ES4799837', '40X8NAQND0OI', '2Y9QC4G7QZS2', '4P7YHOHEJZZA', '7FXDFVQVNTGL', '6DIKC99K2BON', '2YLJUU02VE11', '3LGBC8Y01YZM', '4HOMX1QTATZL', '4BDN3N7BQRW9', '40X8NAQND0OI', '251U5LN21813', '65EH19PVJEAW', '73NVA0KOF7XE', '1NM05EVROEX0', '1BGA29AL212Q']"
1SQVBNN9VDSN,Large Bed Tray Foldable Portable Multifunction Laptop Desk Lazy Laptop Table,"Large Bed Tray Foldable Portable Multifunction Laptop Desk Lazy Laptop Table Features:  The ergonomically designed curved recess prevents chest discomfort, round table corner design, anti-bumping and safer.   Thickened 12mmenvironmentally-friendly table top plate, stable structure,wear-resistant and scratch-resistant, waterproof and odor-free.   The card slot  design can be used to place mobile phones, tablets, pens,etc., releasing your hands and making video chat more convenient.     The W-shaped table legs have good stability, and the market is made of bold high-quality steel pipes. It has strong bearing capacity and good durability. It is also designed with non-slip cotton pad to avoid scratching the bed sheets and carpets. It avoids harsh noise when it comes into contact with the   ground.   Easy to fold, store against the wall, no space.  Description:  Product Name: Folding lazy laptop desk.   Product color: black.   Product weight: 4.6pounds.   Material: high quality thick steel pipe, black brushed sheet.   Special design:black brushed smooth table top, increase the length and width of thetable, it is possible to place the computer and various items.   Function: Can be used as computer desk, dining table, bedside table.   Product size: 23.6x15.7x11 inches (60x 40 x 28 cm)   Packing size: 26 x 17.5 x2.4 inches (66x 44.5 x6 cm)   Scope ofapplication: Foldable Portable desk would bring you convience in Bed, Living Room, Floor, Couch, Sofa, Camping, Dorm Bunk,School (Indoor/ Outdoor).  Package Included:  1x folding lazy computer table  Large Bed Tray Foldable Portable Multifunction Laptop Desk Lazy Laptop Table",https://walmart.com/ip/1SQVBNN9VDSN,Office Supplies,/Lap Desks,$20.96,5.0,2 ratings,"['3WREE8L7X1FR', '3PYQZ2OLR5WJ', '1BMS2F3E10AT', '509ES4799837', '77FUEIHW8FPL', '19S4I8OH5JGG', '187ZO9DU4OYP', '5VPJPQ2T6J5B', '4UV3WD9FFW3U', '0VTQOBP57BMR', '5M62RUN2I2GX', '2APC68CH0V8R', '5O1Y8LF6UYRR', '16WHBQT82JN5', '40X8NAQND0OI', '4OBMZCVFV90H', '2YLJUU02VE11', '1ZGAAOLRS8SZ', '3LGBC8Y01YZM', '52N4ZODI8CP1', '4HOMX1QTATZL', '4CPCL73MA687', '251U5LN21813', '1SCFTD317UQ1', '1BGA29AL212Q', '6U7CPE6M22X3', '40X8NAQND0OI', '2Y9QC4G7QZS2', '4P7YHOHEJZZA', '7FXDFVQVNTGL']"
4LB8QYVB16W6,"Mind Reader Portable Plastic Folding Lap Desk and Tray with Storage Compartment, Black","Unlike other lap desks, Mind Reader Portable Folding Lap Desk comes with an extra secret storage compartment that allows you to store school/office supplies and accessories. Once you lift the lap desk lid, you will find 3 compartments that allow you to stash anything you can think of. 1 Large compartment in the middle, that is suitable for paper and small notebooks, and two same sized side compartments for smaller items like pens, pencils, paperclips and more. The Mind Reader Lap Desk Laptop Stand, folds into a compact size that allows you to easily take this stand with you on the go. Great for traveling on business trips or in the morning on your way to work and you are working towards finishing a project for your deadline. The lapdesk folds into a briefcase sized stand. FOLDED DIMENSIONS: 12"" L x 17.5"" W x 2.5"" H. Men, women and children of all ages can use this lap desk tray. Children can use it for school work while they sit comfortably on the couch or on their bed. Adults can use it as a serving tray when a loved one is sick and cant get out of bed. This is the perfect all purpose stand for all. Equipped with 3 storage compartments on the inside that will allow you to store a variety of things. The two smaller side compartments are ideal for smaller items. The 2 side compartments have 10"" L & 2"" W. The large compartment measurements; 10"" L x 11.5"" W x 1.5"" H All-Purpose Stand - It can be used as a laptop stand, travel desk, breakfast table, bed tray, bed table, book stand, and gaming desk, beach table, portable office desk, lap tray for food, kids study desk, laptop desk, study table, workstation, standing desk, childrens desk, kids lap desk, writing desk, laptop folding table, and much more. Laptop Stand - An excellent lap top stand for you or your children. Laptop stand legs open up and comfortably sit over your lap while you use your laptop for work or school. The stand has a space for pencils, pens erasers, and other small office / school supplies. Lap Desk - Sit over your legs and use this stand as a lap desk. Place your school or office work on top of the stand and conveniently get your work done on your couch or your bed with this all-purpose lapdesk. Use this in on the bus, the train, or in the backseat of the car as this stand sits perfectly on your lap. Breakfast Table - Use this stand as a breakfast table. Excellent for those who are sick in bed or are not feeling well enough to get out of bed. Ideal for nursing homes or hospitals who need serving trays for their sick patients. Serving Tray - Useful for serving purposes, fold the legs or keep them open while you serve breakfast, lunch, dinner, or drinks for your guest. Ergonomic side handles allow you to perfectly navigate through parties or your home while keeping the tray straight and aligned with your body. Side Handles - Built in ergonomic handles on the side of the lap desk for easy transporting. Two side handles allow you to serve your guest with ease. They also allow you to get up and out of bed easier while moving the desk off your lap. A great portable desk that is designed to make your life easier. Space Saving Design - The collapsible folding lap desk is designed so that the legs fold inward and remain flat. The foldable legs make this tray easy to store and portable, allowing you to work and take this desk anywhere and everywhere comfortably. Keep your house or office space clean with the option of having it stored in your desk drawer or home closet. FOLDED DIMENSIONS: 12"" L x 17.5"" W x 2.5"" H Extra Storage Compartments Inside - Lap desk with storage compartments on the inside of the stand. Lift the top of the lap desk and find the storage space for documents, folders, magazines, papers, school supplies and more. The large compartment measurements; 10"" L x 11.5"" W x 1.5"" H. The 2 side compartments have 10"" L & 2"" W. Lightweight & Durable - Built with attention to detail, this is made of durable high quality materials. Created to hold all your belongings neat inside the kids desk with storage up to 7 pounds. This unit should last for years of usage and should not bend, break, or tear over time. Dimensions: 12 (L) x 17.5 (W) x 7.5 (H)  ",https://walmart.com/ip/4LB8QYVB16W6,Office Supplies,/Lap Desks,$23.06,3.0,7 ratings,"['2KNDKXTE8VKZ', '2ER6BJQVXNAC', '2QVQK5A4D4AT', '1ET2SHQB0J3P', '714ANWYC4X6S', '19S4I8OH5JGG', '0ZW83UY97IC1', '4UV3WD9FFW3U', '187ZO9DU4OYP', '5VPJPQ2T6J5B', '6YPLTQGAXY0K', '7BZGGK56ET51', '1TUHL3I9MKQS', '54BQWY4CS9QU', '40X8NAQND0OI', '2YLJUU02VE11', '40X8NAQND0OI', '1ZGAAOLRS8SZ', '4BDN3N7BQRW9', '1BGA29AL212Q', '73NVA0KOF7XE', '1IVKG0BZNE3Y', '65EH19PVJEAW', '4OBMZCVFV90H', '251U5LN21813', '509ES4799837', '6U7CPE6M22X3', '40X8NAQND0OI', '2Y9QC4G7QZS2', '4P7YHOHEJZZA']"
3ZX1V14OWFKI,Aluminium Adjustable Laptop Stand Lightweight Portable Laptop Table Office Laptop Riser Standing Desk with 2 Cooling Fans & Mouse Pad Sofa Couch Bed Tray,"Features: 【Light weight & Sturdy Material】The Portable Folding Laptop stand adopts light and high-intensity aluminum tray with 4 -slip leg-pads and 6 robust adjustable ABS auto-locking joints. This unique and elegant desk is stylish and modern. 【Large Cooling Fan】This office computer stand has a silent CPU fan. It's powerful and it will release hot air from your laptop. Keep cool and enjoy your working or reading. 【Mouse pad】Specially added mouse pad in the side of laptop desk, expand the use space, more convenient. 【360 Degree Adjustable】 It is ergonomic Design. Each folding leg has 3 knobs which can adjust in any height and angle as you need. There are many different ways to move the legs for different heights or angles. After folded down, the stand is pretty small and you can store it when it's not in use. 【Multiple Uses】 This laptop table can also be used for a TV dinner tray, sound equipment, projector, standing desk, Book tray, writing desk, and tablet holder.   Specification: Material: Aluminum alloy Leg joint length: 255 mm USB cable: Approx. 53cm Applicable computer: under 17in Number of leg joints: 6 Pcs  ( 3 * 2 ) Desk adjustable angle: Approx.360 degrees Product weight: Approx.1.4kg/50oz Package weight: Approx.1.58kg/56oz Desk adjustable height: Approx.480 mm/19in Desk ( length * width ): Approx.420 * 260 mm/17*10in Size ( when folding ): Approx.530 * 260 mm/20*10in Package size: Approx. 530 * 270 * 50 mm/20*10*2in    Package list: 1 * Desk 1 * Star knob 1 * USB cables 1 * Mouse Pad 1 * User Manual 2 * Edge stopper 【Light weight & Sturdy Material】The Portable Folding Laptop stand adopts light and high-intensity aluminum tray with 4 -slip leg-pads and 6 robust adjustable ABS auto-locking joints. This unique and elegant desk is stylish and modern. 【Large Cooling Fan】This office computer stand has a silent CPU fan. It's powerful and it will release hot air from your laptop. Keep cool and enjoy your working or reading. 【Mouse pad】Specially added mouse pad in the side of laptop desk, ",https://walmart.com/ip/3ZX1V14OWFKI,Office Supplies,/Lap Desks,$29.99,5.0,4 ratings,"['6EZKJC8QGCRR', '13N6VJOVZBTJ', '4BFN3SOBCK8L', '5KE9Y4WXVK85', '0SKUSP2K06XD', '187ZO9DU4OYP', '0ZW83UY97IC1', '1J9CDLOPA57A', '5BASH9DMCFEP', '5VPJPQ2T6J5B', '509ES4799837', '19S4I8OH5JGG', '1TUHL3I9MKQS', '40X8NAQND0OI', '2Y9QC4G7QZS2', '4OBMZCVFV90H', '2YLJUU02VE11', '52N4ZODI8CP1', '1ZGAAOLRS8SZ', '3LGBC8Y01YZM', '4HOMX1QTATZL', '1SCFTD317UQ1', '251U5LN21813', '4CPCL73MA687', '16WHBQT82JN5']"
2MKN5RHD59M3,Kadell Adjustable Wood Bed Tray Lap Desk Serving Table Folding Legs Bamboo Food Dinner with Drawer (21 x 13 x 12 inches)," Package included:  1 x Multi-function Computer Desk   Description:  Name: Multi-function Computer Desk  Color: primary color of nanzhu  Material: Bamboo  Paint process: nitrocellulose paint, no pollution, can retain the natural texture of the original bamboo   Instructions:  1. Solid material, smooth and polished surface.  2. Please wipe the bamboo furniture with a towel before use to remove the hairs and fine burrs on the surface. When the bamboo furniture is not in use, wipe it clean, air dry it, wrap it with plastic foam, and place it in a ventilated environment.   Features:  - Organize small drawers. Convenient to place usb flash drive, earphone, mobile phone and other small objects. Gadgets are no longer easy to lose, small but practical.  - Anti - slip baffle to prevent the notebook from slipping, convenient and fashionable.  - Cup groove design, humanized design, when working or entertainment follow one's inclination. put the cup well.   CONVENIENT DRAWER DESIGN ADJUSTABLE HEIGHTS and WIDTH Adjustable and foldable, convenient and room-saving 21"" Adjustable Bamboo Laptop Desk Wood Color Bamboo material works with delicate workmanship, durable in use ",https://walmart.com/ip/2MKN5RHD59M3,Office Supplies,/Lap Desks,$31.77,4.5,4 ratings,"['41LL7N0ZDREV', '3IK2WMCSBGIF', '54XYEYLVPHIT', '4C4C3ZUCBD8M', '5A1O33AFXR20', '1N0L62ESNHQV', '6ARKIZ6KEAF4', '5056VNDXD600', '0RHO5KN36LNN', '2FUTYERAX62A', '509ES4799837', '19S4I8OH5JGG', '6U7CPE6M22X3', '1TUHL3I9MKQS', '40X8NAQND0OI', '2YLJUU02VE11', '3LGBC8Y01YZM', '40X8NAQND0OI', '4HOMX1QTATZL', '4BDN3N7BQRW9', '251U5LN21813', '1NM05EVROEX0', '1BGA29AL212Q', '73NVA0KOF7XE', '65EH19PVJEAW']"
4Q1XSFD9NGW0,"Laptop Lap Desk,OTVIAP Lap Desk E-Table Bed Foldable Table With USB Cooling Fans Stand TV Tray(Silver)","DESCRIPTION: Thiscomputer desk has a simplistic design that increases the beauty of yourroom. The frame of the desk is designed to add extra stability for thedesk. The four small plastic feet prevent the desk from sliding. Youwill enjoy your online time with this computer desk.   FEATURES:  Simplistic design increases the beauty of your room The frame of the desk is designed to ensure stability Sliding keyboard tray adds convenience for you to use and store your keyboard The four small plastic feet keep the desk from sliding Silver steel frame Assembly required  SPECIFICATION:Material: Wood & SteelColor: SilverMax Capacity: 110lbsOverall dimension: 23.6""L x 18.9""W x 28.5""H Keyboard tray: 21.5""L x 10.4""W Bottom Size: 21.5""L x 15.4""W Steel Tube: 0.7mm/0.027"" Plate Thickness: 1.5"" PACKAGE CONTENT:1*Desk    Simplistic design increases the beauty of your room The frame of the desk is designed to ensure stability Sliding keyboard tray adds convenience for you to use and store your keyboard The four small plastic feet keep the desk from sliding Silver steel frame ",https://walmart.com/ip/4Q1XSFD9NGW0,Office Supplies,/Lap Desks,$27.06,1.3,6 ratings,"['5NB9OHDZ8Y7D', '6WG4F6POSCW2', '4GTGS5G241M0', '7BZGGK56ET51', '509ES4799837', '0ZW83UY97IC1', '187ZO9DU4OYP', '6XE5H7DU57NK', '5VPJPQ2T6J5B', '19S4I8OH5JGG', '3AIQV863Y8WK', '3DIL8VX0T9QO', '4M5058EKH2H4', '4LB8QYVB16W6', '5JL6JYS1P72G', '2YLJUU02VE11', '3LGBC8Y01YZM', '4HOMX1QTATZL', '40X8NAQND0OI', '251U5LN21813', '1BGA29AL212Q', '4BDN3N7BQRW9', '1NM05EVROEX0', '73NVA0KOF7XE', '65EH19PVJEAW', '1TUHL3I9MKQS', '40X8NAQND0OI', '2Y9QC4G7QZS2', '4P7YHOHEJZZA', '7FXDFVQVNTGL']"
5JL6JYS1P72G,"WALFRONT Lap Desk E-Table Bed Foldable Table With USB Cooling Fans Stand TV Tray,Laptop Lap Desk","DESCRIPTION: Thiscomputer desk has a simplistic design that increases the beauty of yourroom. The frame of the desk is designed to add extra stability for thedesk. The four small plastic feet prevent the desk from sliding. Youwill enjoy your online time with this computer desk.   FEATURES:  Simplistic design increases the beauty of your room The frame of the desk is designed to ensure stability Sliding keyboard tray adds convenience for you to use and store your keyboard The four small plastic feet keep the desk from sliding Silver steel frame Assembly required  SPECIFICATION:Material: Wood & SteelColor: SilverMax Capacity: 110lbsOverall dimension: 23.6""L x 18.9""W x 28.5""H Keyboard tray: 21.5""L x 10.4""W Bottom Size: 21.5""L x 15.4""W Steel Tube: 0.7mm/0.027"" Plate Thickness: 1.5"" PACKAGE CONTENT:1*Desk    Simplistic design increases the beauty of your room The frame of the desk is designed to ensure stability Sliding keyboard tray adds convenience for you to use and store your keyboard The four small plastic feet keep the desk from sliding Silver steel frame ",https://walmart.com/ip/5JL6JYS1P72G,Office Supplies,/Lap Desks,$32.98,2.3,8 ratings,"['7BZGGK56ET51', '3AIQV863Y8WK', '3Z8020CYEBRB', '1J6R553TVYEH', '5ZDFGEJNYAP4', '0ZW83UY97IC1', '187ZO9DU4OYP', '19S4I8OH5JGG', '1N0L62ESNHQV', '5VPJPQ2T6J5B', '4ZNI0RZQBMQG', '2Y95VXO8UFSG', '40X8NAQND0OI', '3DIL8VX0T9QO', '1ID6SRHH86N1', '2YLJUU02VE11', '3LGBC8Y01YZM', '1ZGAAOLRS8SZ', '4HOMX1QTATZL', '4OBMZCVFV90H', '1BGA29AL212Q', '4BDN3N7BQRW9', '1NM05EVROEX0', '73NVA0KOF7XE', '65EH19PVJEAW', '509ES4799837', '6U7CPE6M22X3', '1TUHL3I9MKQS', '40X8NAQND0OI', '2Y9QC4G7QZS2']"
