Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count
1IBR46ZJFHL5,"SAMSUNG 50"" Class 4K UHD 2160p LED Smart TV with HDR UN50NU6900","4K UHD for all, the choice is clear. Step up from Full HD with the clarity of the SAMSUNG 50"" Class 4K UHD 2160p LED Smart TV with HDR UN50NU6900. Get 4X the resolution of Full HD, plus non-4K TV content is upscaled to 4K UHD via a powerful UHD Engine. Search less, enjoy more of your favorite streaming content and live TV shows with Samsung's Smart TV single universal guide.SAMSUNG 50"" Class 4K UHD 2160p LED Smart TV with HDR UN50NU6900:       Key Specifications       Series: 6 Series Model: UN50NU6900FXZA Screen Size Class: 50"" Diagonal Screen Size: 49.5"" Resolution: 4K UHD 2160P Smart Functionality: Yes High Dynamic Range: Yes Display Type: LED Backlight Type: Edge Effective Refresh Rate: 60Hz Screen Type: Flat Panel       Key Features       4K UHD Picture: A quest for clarity beyond the standard was researched and developed, creating an engine that drives breathtaking resolution 4X more than Full HD. PurColor: Enjoy millions of shades of color, fine-tuned to create an incredibly vibrant picture. Essential Contrast: Discern lifelike details in the brightest and dimmest scenes. HDR: View stunning high-dynamic-range content with a TV designed to support HDR10+. 4K UHD: See what you?ve been missing on a crisp, clear picture that?s 4X the resolution of Full HD. Game Mode: Get a leg up on the competition, thanks to an optimized gaming experience with minimal input lag. UHD Engine: A powerful processor optimizes your content for 4K picture quality. Motion Rate 120: Smooth action on fast-moving content. Contrast Enhancer: Experience a greater sense of depth with optimized contrast across all areas of the screen. HDR Formats Supported: HDR10 (Static MetaData), HDR10+ (Dynamic MetaData), HLG (Hybrid Log Gamma). All Samsung 4K UHD TVs also meet the CTA HDR-Compatible Definition. Digital Clean View Clean Cable Solution: Neatly manages cords for a crisp, clean look. Slim Design: An elegant, slim design for a modern look you?ll admire. Bezel Color: Glossy Black Stand Color: Charcoal Black Smart TV: Access your streaming services all in one place using the Samsung Remote Control. Universal Browse: An easy way to find streaming content and live TV shows with a single universal guide. Connect & Share: Sync your TV to your compatible smartphone to access and control your content on the big screen. HDMI: 2 HDMI Connections. Enjoy higher-quality audio and video with an HDMI connection that transmits both signals over a single cable. Compatible with next generation Ultra HD Blu-ray players and HDR content decoding. Includes 1 Audio Return Channel (ARC). Wi-Fi: Enjoy your favorite on-demand content seamlessly through your existing network with built-in Wi-Fi (802.11N). 1 USB Connection. 1 Optical Audio Output Port. 1 Ethernet (LAN). Dolby Digital Plus: Enjoy the ultimate digital sound quality on all your favorite movies, TV shows and streaming content. Dolby Digital Plus optimizes your entertainment experience with enhanced sound richness and clarity. 20 Watt 2 Channel Wall Mount VESA Support: Yes (200mm x 200mm) Standard Remote (TM-1240A)       Dimensions (W x H x D)       TV Without Stand: 44.3"" x 25.6"" x 2.4"" TV With Stand: 44.3"" x 27.3"" x 9.5""       Weight       TV Without Stand: 30 lbs TV With Stand: 30.4 lbs      ",https://walmart.com/ip/1IBR46ZJFHL5,Electronics,/All TVs,$328.00,4.2,3654 ratings
4KZT5E1EK5S9,"SAMSUNG 65"" Class 4K Ultra HD (2160P) HDR Smart QLED TV QN65Q60TB","Enter a world saturated with color and sharpened to refreshing clarity, all of it made possible through the power of Quantum Dot technology. An intuitive Smart TV interface learns what you like and suggests exciting new content. And if youâre into gaming, Game Enhancer automatically neutralizes annoyances like tearing and stuttering.   100% Color Volume with Quantum Dot*  Quantum dots produce over a billion shades of color that stay true-to-life even in bright scenes.* Disclaimer: *QLED televisions can produce 100% Color Volume in the DCI-P3 color space, the format for most cinema screens and HDR movies for television.    Dual LED  A system of dedicated warm and cool LED backlights enhance contrast details.    Quantum HDR  Expands the range of color and detail beyond what's possible on HDTVs.    Smart TV Powered by TIZENâ¢  Go beyond Smart TV with next-gen apps, super easy control, and a host of enhancements that elevate the TV watching experience.    Quantum Processor 4K Lite  This ultra-fast processor transforms everything you watch into stunning 4K.    Game Enhancer  The TV automatically adjusts settings to help games run smoothly.    Boundless Design  An ultra-thin bezel on all sides for a stunningly clean look.    Universal Guide  One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.    Clean Cable SolutionÂ®  Hides unsightly power cords and cables. Not available on 43"".     OneRemote  The sleek and slim OneRemote automatically detects and controls all compatible connected devices and content.* Disclaimer: *Remote color and design may vary by model.    ",https://walmart.com/ip/4KZT5E1EK5S9,Electronics,/All TVs,$947.99,4.7,1067 ratings
2WNNEGT8JV3R,"SAMSUNG 55"" Class 4K Ultra HD (2160P) HDR Smart QLED TV QN55Q60TB","Enter a world saturated with color and sharpened to refreshing clarity, all of it made possible through the power of Quantum Dot technology. An intuitive Smart TV interface learns what you like and suggests exciting new content. And if youâre into gaming, Game Enhancer automatically neutralizes annoyances like tearing and stuttering.   100% Color Volume with Quantum Dot*  Quantum dots produce over a billion shades of color that stay true-to-life even in bright scenes.* Disclaimer: *QLED televisions can produce 100% Color Volume in the DCI-P3 color space, the format for most cinema screens and HDR movies for television.    Dual LED  A system of dedicated warm and cool LED backlights enhance contrast details.    Quantum HDR  Expands the range of color and detail beyond what's possible on HDTVs.    Smart TV Powered by TIZENâ¢  Go beyond Smart TV with next-gen apps, super easy control, and a host of enhancements that elevate the TV watching experience.    Quantum Processor 4K Lite  This ultra-fast processor transforms everything you watch into stunning 4K.    Game Enhancer  The TV automatically adjusts settings to help games run smoothly.    Boundless Design  An ultra-thin bezel on all sides for a stunningly clean look.    Universal Guide  One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.    Clean Cable SolutionÂ®  Hides unsightly power cords and cables. Not available on 43"".     OneRemote  The sleek and slim OneRemote automatically detects and controls all compatible connected devices and content.* Disclaimer: *Remote color and design may vary by model.    ",https://walmart.com/ip/2WNNEGT8JV3R,Electronics,/All TVs,$697.99,4.7,1067 ratings
248GGHX51600,"Westinghouse 65"" Class4K (2160p) HDR Roku Smart TV","Westinghouse 4K Ultra HD Roku TVs offers an unequaled entertainment experience that fits your lifestyle. Watch exactly what you want, how you want when you want it. Roku TV allows you to stream top free or paid programming services like Disney +, Apple TV +, Netflix, Prime Video, Google Play, HBO NOW, SHOWTIME, PBS, DisneyNOW, and YouTube. Thousands of more channels for sports, news and major music services, like Pandora, iHeartRadio and Sirius XM are available. Get to your entertainment even faster and voice control your streaming on the free Roku Mobile App! Share your videos, music and photos from your smartphone with the Roku Mobile app directly to your TV  Smart Home technology Compatible with your Amazon Alexa or Google Assistant devices.   Cast your content and entertainment Share your videos, music and photos from your smartphone with the Roku TV app directly to your TV.   65"" screen Large enough to provide an immersive experience for everyone in the room.   2160p resolution for breathtaking HD images Watch 4K movies and TV shows at 4x the resolution of Full HD, and upscale your current HD content to gorgeous, Ultra HD-level picture quality.   Watch high dynamic range (HDR) content on your TV With an HDR-compatible 4K TV, you can enjoy HDR movies and TV shows, in addition to all your current content.   Smart TV with access to streaming services for countless entertainment options Stream shows, movies, games and more with the TV's built-in Wi-Fi and integrated apps.   Built-in Roku smart platform delivers access to a world of entertainment Stream from Disney+, Apple TV+, Netflix, Hulu, YouTube, Prime Video, or choose from more than 4,000 other streaming channels.   Voice search & control Get to your entertainment even faster and voice control your streaming on the free Roku Mobile app.   LED TVs perform well in all lighting conditions They also deliver plasma-like deep blacks and rich colors.   Advanced TV sound Two 8W main channel speakers.   Dolby audio Provides crystal-clear audio with improved dialogue and enhanced loudness for a fuller audio mix.   3 HDMI inputs for the best home theater connection High-speed HDMI delivers picture and digital surround sound in one convenient cable. HDMI cable not included.   Enjoy the picture from multiple angles 160° horizontal and 150° vertical viewing angles provide a clear picture for viewers seated near the side of the screen.  ",https://walmart.com/ip/248GGHX51600,Gifts & Registry,/Gift Finder,$419.99,1.0,1 ratings
6ZKM5BNLU2ZL,"VIZIO 65"" Class 4K UHD Quantum Smartcast Smart TV HDR M-Series M65Q8-H1","Step up to the infinite possibilities of streaming 4K with 85% more color(1) with the all-new VIZIO M-Series 4K HDR Smart TV . UltraBright 800 and Dolby Vision high dynamic range bring the image to thrilling new life, combined with the Active Full Array backlight to enhance contrast and deepen black levels. The lightning-fast IQ Active processor boosts overall performance while the ProGaming Engine with Auto Game Mode and Variable Refresh Rate elevates console gaming(2). And VIZIO SmartCast is now smarter than ever, letting you stream, control and share like never before, with Apple AirPlay 2* and Chromecast built-in in Dolby Vision and HDR10+ for a best in class 4K streaming experience. 1) Color defined as the color volume measured using Dolby's MDC (millions of distiguishable colors) specification that factors the range of colors and luminance levels; standard 4K HDR TV features rec 709 color, up to 300 nits 2) VRR and auto low latency mode only compatible with Xbox One X *Apple AirPlay and HomeKit may not be available at the time of purchase. Please go to support.vizio.com/AppleVIZIO 65” Class 4K UHD Quantum Smartcast Smart TV HDR M-Series M65Q8-H1     Dolby Vision HDR  Dolby Vision Transforms your TV experience with dramatic imaging – incredible brightness, contrast, and color that bring entertainment to life before your eyes. In addition, this TV supports HDR10+ and HLG high dynamic range formats.  4K Ultra HD With over 8 million pixels — 4 times the resolution of 1080p — enjoy every scene in breathtaking detail. VIZIO IQ Active(TM) Processor  Inside, the lightning-fast IQ Active processor delivers superior picture processing, and more intelligent 4K upscaling engine displaying your favorite HD entertainment in spectacular 4K quality. ProGaming Engine(TM) Automatically optimizes Xbox and Playstation gameplay with a unique suite of gaming features that provide smoother graphics, more responsive gaming, and better 4K HDR picture quality – Variable Refresh Rate* matches the refresh rate between your console and TV for tear and stutter free gaming at the lowest input lag. *VRR and auto low latency mode only compatible with Xbox One X VIZIO SmartCast With lightning fast navigation, enjoy instant access to the best selection of apps from top-tier streaming services like Netflix, Disney+, YouTube, and many more right on the TV using the all-new smart remote or SmartCast Mobile app.  Works with Apple AirPlay & Chromecast Built-In  Stream, control, and share your favorite movies, shows, music, photos, and more from your Apple or Android devices directly to the TV. You can also wirelessly mirror content such as web pages and presentations from your iOS device or Chrome browser to the big screen. Apple AirPlay may not be available at the time of purchase. Visit support.vizio.com/apple Simple, Hands-Free Voice Control  Use voice to control the TV with popular voice assistants including Siri and the Google Assistant-enabled devices – turn your TV on/off, stream apps, and more. Apple HomeKit may not be available at the time of purchase. Visit support.vizio.com/apple The Center of Your Smart Home  Integrates seamlessly with Apple HomeKit and Google Assistant smart home devices – check on your front door camera, control the lights and TV with a single voice command – with this M-Series TV, the smart home possibilities are endless. Apple HomeKit may not be available at the time of purchase. Visit support.vizio.com/apple Free Streaming Channels  A cord-cutters dream, serving up unlimited free viewing from hundreds of specially curated channels – movies, TV shows, news and more. No fees, logins or subscriptions.  Clear Action 360  Enjoy fast action sports and movies with superior motion clarity using powerful image processing and Dynamic Motion Rate 120 achieved with backlight scanning. Sleek, Modern TV Design  With its sleek, modern lines, the M-Series Quantum is the perfect entertainment centerpiece 4 UHD/HDR-Ready HDMI Ports  Future-ready HDMI 2.1 connectivity offers the highest audio quality with eARC and Dolby Atmos passthrough and highest video performance from the newest 4K entertainment devices.  ",https://walmart.com/ip/6ZKM5BNLU2ZL,Electronics,/All TVs,$748.00,4.6,1126 ratings
5JNYJK97TMLD,"JVC 32"" Class HD (720p) Roku Smart LED TV (LT-32MAW205)","Upgrade your home entertainment system with this The HD resolution JVC 32"" Class HD (720p) Roku Smart TV (LT-32MAW205) is more than a smart TV - it's a better TV. All of your entertainment is in one place with access to over 500,000 movies, TV episodes, and more than 5,000 streaming channels. Start streaming your favorite shows, access your cable box or HD antenna, even fire up your gaming console - all from your home screen. With Featured Free on your home screen, you're one click away from hundreds of free movies, TV episodes, and live news from channels like The Roku Channel, ABC, CW and more. Easily search across top channels for results ranked by price. Use the free Roku mobile app for iOS or Android devices to search by voice, cast personal media or video, and control your TV.JVC 32"" Class HD (720p) Roku Smart LED TV (LT-32MAW205)  High Definition Watch in 720p resolution for a crystal-clear picture Intuitive Interface The Roku TV home screen puts your favorite TV entertainment into one simple screen Amazing Content Stream over 500,000 movies and TV episodes  Over-the-Air Entertainment Cable/satellite, antenna & streaming compatible  Wi-Fi Dual-band wireless for seamless streaming  Screen Size (Diag.): 31.5"" Backlight Type: LED Resolution: 720p Effective Refresh Rate: 60Hz Smart Functionality: yes Smart Platform: Roku Aspect Ratio: 16:9 OSD Language: English, Spanish, French Audio: Dolby Digital Plus Audio Output: 8W x 2    Connectivity:    HDMI Inputs: 3 USB: 1 Composite Audio/Video: Input: 1 Digital Optical Audio Output: 1 Headphone Jack: 1 RF Antenna Input: 1 Built-in WiFi: yes    What's In The Box:    Remote Control    Wall-mountable:    Mount Pattern: VESA 200mm x 100mm    Support and Warranty:    1Yr Warranty   ",https://walmart.com/ip/5JNYJK97TMLD,Electronics,/All TVs,$119.99,4.5,165 ratings
3GBB87068Z4L,"Westinghouse 58"" Class 4K (2160p) HDR Roku Smart TV","Westinghouse 4K Ultra HD Roku TVs offers an unequaled entertainment experience that fits your lifestyle. Watch exactly what you want, how you want when you want it. Roku TV allows you to stream top free or paid programming services like Disney +, Apple TV +, Netflix, Prime Video, Google Play, HBO NOW, SHOWTIME, PBS, DisneyNOW, and YouTube. Thousands of more channels for sports, news and major music services, like Pandora, iHeartRadio and Sirius XM are available. Get to your entertainment even faster and voice control your streaming on the free Roku Mobile App! Share your videos, music and photos from your smartphone with the Roku Mobile app directly to your TVWestinghouse 58"" Class 4K (2160p) HDR Roku Smart TV  Smart Home technology Compatible with your Amazon Alexa or Google Assistant devices.      Cast your content and entertainment Share your videos, music and photos from your smartphone with the Roku TV app directly to your TV.  57.5"" screen Large enough to provide an immersive experience for everyone in the room.  4k Ultra High Definition Provides more than 4 times as many pixels as a traditional HDTV and will completely change the visual detail and picture clarity.  High Dynamic Range Delivers enhanced wider color, greater brightness, improved contrast than standard displays.  Smart TV with access to streaming services for countless entertainment options Stream shows, movies, games and more with the TV's built-in Wi-Fi and integrated apps.  Built-in Roku smart platform delivers access to a world of entertainment Stream from Disney+, Apple TV+, Netflix, Hulu, YouTube, Prime Video, or choose from more than 4,000 other streaming channels.  Voice search & control Get to your entertainment even faster and voice control your streaming on the free Roku Mobile app.  LED TVs perform well in all lighting conditions They also deliver plasma-like deep blacks and rich colors.  Dolby Audio Provides crystal-clear audio with improved dialogue and enhanced loudness for a fuller audio mix.  3 HDMI inputs for the best home theater connection High-speed HDMI delivers picture and digital surround sound in one convenient cable. HDMI cable not included.  Enjoy the picture from multiple angles 178° horizontal and vertical viewing angles provide a clear picture for viewers seated near the side of the screen.  1 USB input Easily connect your digital camera, camcorder or other USB device. Web-based services and content require high-speed Internet service. Some services may require a subscription. ",https://walmart.com/ip/3GBB87068Z4L,Gifts & Registry,/Gift Finder,$289.99,2.9,8 ratings
2WKHHA8AS2GV,"Sanyo 65"" Class 4K Ultra HD (2160p) HDR Roku Smart TV (FW65R70F)","Deck out your entertainment room or even your bedroom with this Sanyo 65"" Class 4K (2160p) Roku Smart TV (FW65R70F). Roku TV makes streaming a snap, so you'll always have your favorite shows at your fingertips. Sanyo Roku TV brings you top channels like Netflix, Google Play, Crackle, and more. Access to 500,000+ movies and TV episodes across thousands of free or paid channels plus innovative features make finding your favorite entertainment fast and simple. Sanyo 65"" Class 4K Ultra HD (2160p) HDR Roku Smart TV (FW65R70F):  Entertainment:  Choose from over 500,000+ movies and TV episodes Home screen:  Access to your cable box, satellite, HDTV antenna and favorite streaming channels ? all from your home screen Featured Free:  Get one-click access to free movies and TV episodes with Featured Free, plus hundreds more free channels Easy search:  Search by title, actor, or director to see where you can stream shows for free or at the lowest cost Free Roku mobile app:  for iOS or Android devices to control your TV, use voice search, enjoy private listening, and more ",https://walmart.com/ip/2WKHHA8AS2GV,Electronics,/All TVs,$419.99,3.8,301 ratings
6ZSRR1HFAOQS,"Sceptre 43"" Class 4K UHD LED TV HDR U435CV-U","With a Sceptre 43-inch LED 4K UHD TV (U435CV-U), entertainment is transformed into an epic adventure. The unequalled color and clear brilliance of 4K (3840 x 2160 or over eight million pixels) will provide more natural and lifelike images than have ever been viewed on a 43-inch screen. Multiple HDMI ports allow you to connect up to four devices at once, so you can stream, browse and listen to all of your favorite multimedia. The HDMI ports are equipped with HDMI 2.0, which let you seamlessly stream 4K video to get the most rewarding viewing experience that is available on the market. Sceptre U435CV-U 43"" 4K Ultra HD 2160p 60Hz LED HDTV (4K x 2K):  43"" class 4K LED panelWith a 3840 x 2160 Ultra HD resolution (4K x 2K) True 16:9 aspect ratioView your movies as the director intended HDMI inputsEnjoy a superior HD experience with HDMI, the one cable audio/video solution 42.5"" screen measured diagonally from corner to corner High Dynamic Range (HDR)  TV stand sold separately. See all   TV stands.  TV mount sold separately. See all   TV mounts.",https://walmart.com/ip/6ZSRR1HFAOQS,Electronics,/All TVs,$169.99,4.1,779 ratings
71QRA2RD1XJ8,"RCA ROKU, QLED 65"" Class 4K UHD SMART TV, RTRQ6522-US, Black","Features our QLED Nanocrystals technology resulting in a super vivid color and contrast experience. The Quantum Processor features a powerful processor to optimize screen brightness and sound control. Quantum dot display boasts 100 - percent colour volume to bring you living colour in both Bright and dark scenes. Enjoying 4K Ultra HD just got easier with the incredible clarity of Ultra HD resolution. Roku TV puts all your favorite entertainment in one place so it’s easier than ever to watch what you love. Stream free TV, live news, and sports across thousands of free and paid channels. Quickly start streaming or access your cable box, game console, or antenna from the simple home screen. Roku TVs keep getting smarter with automatic software updates, so you’ll always have the newest channels and features. This 65"" 4K UHD RCA Roku Smart TV delivers a user-friendly experience: the easy-to-use remote and dual-band wireless make it fast and easy to access your favorite content. Roku search allows you to easily search across top streaming channels by title, actor or directly and now includes voice search. This 65"" 2160p 60Hz LED HDTV has three HDMI inputs for connecting your game console, cable box or even HD antenna. Cast personal media directly to the TV from your smartphone or tablet using the free Roku mobile app for iOS and Android. Works with the Google Assistant.Smart platform: Roku streaming service4K Ultra High-Definition displays have four times the number of pixels as a Full HD display, turning your shows into an epic UHD viewing experience.Roku TV is an easy way to stream what you love. Watch almost anything with access to 450,000+ movies and TV episodes across thousands of free or paid channels. There?s a Roku TV for everyone ? from incredibly affordable to high-end with advanced technology. They all offer innovative features like fast and easy search across top channels to find where movies and shows are available for free, or see unbiased results ranked by price. And the free Roku mobile app turns your iOS® or Android? phone into an ultimate streaming companion with a handy remote, voice search and controls, private listening while viewing streaming entertainment and more. *Channel availability is subject to change and varies by country.Smart TV made simple. The Roku TV home screen puts your favorite TV entertainment into one simple, intuitive interface. Quickly navigate the home screen to access popular streaming channels or view entertainment on devices such as game consoles or cable boxes ? all your TV entertainment is in one place.Amazing content. Endless choices. Stream just about anything- movies, TV shows, live sports, news, and music. With 450,000+ movies and TV episodes to choose from, entertainment is on your schedule. It?s easy to find popular choices that you can rent, buy, subscribe to or watch for free.Fast & easy search across top channels. With Roku Search, it?s easy to find where movies and shows are available for free, or see unbiased results ranked by price across 300+ streaming channels.Compatible with an over-the-are antenna. With a tuner built in, Roku TVs allow you to connect an antenna and enjoy over-the-air entertainment. Plus, you can create a ""Favorite Channels"" list to make finding the channels you love even easier.Share photos and more on your TV. Easily share photos, videos, and music from your compatible smartphone or tablet right to your Roku TV. Enjoy fantastic slideshows and videos starring you and your friends and loved ones on the big screen.Enjoy Private Listening with your mobile device. Listen as loud as you like while keeping things quiet for everyone around you. Use your smartphone or tablet and the Roku mobile app for iOS® and Android? while viewing streaming content on your Roku TV to enjoy private listening via your headphones. *Mobile Private Listening is only available when viewing streaming content on your Roku TV.Live TV Pause. Easily pause and playback over-the-air, antenna TV with Live TV Pause.Free mobile app with voice search. Use voice search on the free Roku mobile app for iOS® and AndroidTM to make it fast and convenient to find the latest blockbuster or hit TV show.Simple remote for easy navigation",https://walmart.com/ip/71QRA2RD1XJ8,Electronics,/4K RCA TVs,$449.99,4.7,9 ratings
