Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count
6DEBO7RYWGTL,"LG XBOOM Go Portable Bluetooth Speaker with Meridian Technology, Black - PL7","LG XBOOM Go PL7 with Meridian technology gives you premium quality sound. Hear deep bass, rich tones, and clear vocals every time you play music. Fill every moment with sound. Premium Meridian audio combines with dual passive radiators for rich bass that you can feel. LED lights pulse in sync with your music. And you can take this lightweight, water-resistant* speaker anywhere, with up to 24 hours of battery life so the party never has to stop.**   Meridian Technology    Premium audio you can take anywhere. Bring epic sound wherever you go. The small, sleek body of the LG XBOOM Go packs a huge punch with 30 watts of power and stereophonic sound.        Sound Boost     Exceptional audio on the go. Amp up the party with room-filling sound. Widen the sound field with Sound Boost EQ mode.         Dual Action Bass     Immerse yourself in powerful bass. Sound you can feel. Get bigger bass without needing more power or additional speakers.          IPX5     Pool party-proof. Keep jamming without the worry of water hitting your speaker.          All-day battery     Keep the hits coming all night long. Enjoy up to 24 hours of battery life for crystal-clear audio that keeps going as long as you do.**         Multi Color Lighting     Sound you can see. No party is complete without a light show. Flashing LED lights accurately sync to the beat of your music.         Wireless Party Link     The more, the merrier. Get bigger sound for a bigger party. Wireless Party Link allows you to connect up to 100 LG speakers for one massive, immersive sound.         Bluetooth Surround Ready     Connect to your TV for rear sound. Add your LG XBOOM Go to your home theater. The portable Bluetooth® speaker easily connects to compatible LG TVs to add rear stereo or surround sound to all your favorite sports, movies and TV shows.         Convenient voice command     Use the voice command hotkey to control what's playing on your XBOOM Go using just your voice. Simply activate your phone's voice assistant and you can tell your smartphone what to play—or skip or pause—without every leaving the dancefloor.         Share Playlists with Multi Bluetooth     Pair two devices at the same time via the XBOOM App. Use any of the connected devices to seamlessly control a playlist with no interruption to music.         Convenient USB-C charging     Keep the party going. The portable LG XBOOM Go speaker features long-lasting battery life*** and easy USB Type-C charging—so you never run out of juice and the party never has to stop.         Turn your speaker into a speakerphone     It's easier than ever to share a conversation with friends. With LG XBOOM Go's Bluetooth® capability, you can answer calls with the touch of a button and turn your gathering into a group chat for those conversations that just have to be shared.         Wireless Bluetooth® control     Control your speaker from your mobile device. When you download the LG XBOOM Bluetooth app, you can manage the audio connection, lighting effects, playlists, equalizer and more with just a few clicks. So you never have to take a break from the dancefloor.         *Tested under controlled laboratory conditions with an IPX5 rating. Resistant to low-pressure water jet spray from 2.5-3m away for 3 minutes. Dry before using. Do not charge while wet.       *24-hour battery life is based on using 50% volume and no lighting.      **Other conditional factors may affect battery life.   ",https://walmart.com/ip/6DEBO7RYWGTL,Electronics,/All Portable Speakers,$129.00,4.8,8 ratings
7JAQ1V6JHJFO,"LG XBOOM Go Portable Bluetooth Speaker with Meridian Technology, Black - PL2","Indoors or out, the water resistant PL2 XBOOM Go Portable Wireless Speaker from LG is engineered to provide you with high-quality audio playback, thanks to Meridian Audio technology. This single channel wireless speaker delivers your music through one 1.75"" woofer and a passive radiator.        Meridian Technology     Powerful, portable audio. Bring big sound wherever you go. The small, sleek body of the LG XBOOM Go boasts 5 watts of power. With Meridian audio technology and a passive radiator, you get one powerful speaker that couldn't be easier to pack with you.         Sound Boost     Superior sound quality. Enjoy Advanced Audio Coding (AAC) with LG XBOOM Go. AAC is the default coding standard for lossy digital audio compression. It's supported by both iPhone and Android phones and generally achieves higher sound quality than MP3 at the same bit rate.         IPX5     Pool party-proof. Keep jamming without the worry of water hitting your speaker. The water-resistant* LG XBOOM Go is a speaker built to play in less-than-perfect conditions. So the music never has to stop.         All-day battery     Keep the hits coming all night long. Enjoy up to 10 hours of battery life for crystal-clear audio that keeps going as long as you do***.         Wireless Party Link     Expand the dance floor. Get bigger sound for a bigger party. Wireless Party Link allows you to connect two LG Party Systems together to create a single big, immersive sound.         Convenient voice command     Use the voice command hotkey to control what's playing on your XBOOM Go using just your voice. Simply activate your phone's voice assistant and you can tell your smartphone what to play—or skip or pause—without ever leaving the dance floor.         Share Playlists with Multi Bluetooth     Pair two devices at the same time via the XBOOM App. Use any of the connected devices to seamlessly control a playlist with no interruption to music.         Convenient USB-C charging     Keep the party going. The portable LG XBOOM Go speaker features long-lasting battery life*** and easy USB Type-C charging—so you never run out of juice and the party never has to stop.         Turn your speaker into a speakerphone     It's easier than ever to share a conversation with friends. With LG XBOOM Go's Bluetooth®. capability, you can answer calls with the touch of a button and turn your gathering into a group chat for those conversations that just have to be shared.         Wireless Bluetooth® control     Control your speaker from your mobile device. When you download the LG XBOOM Bluetooth app, you can manage the audio connection, lighting effects, playlists, equalizer and more with just a few clicks. So you never have to take a break from the dance floor.         *Tested under controlled laboratory conditions with an IPX5 rating. Resistant to low-pressure water jet spray from 2.5-3m away for 3 minutes. Dry before using. Do not charge while wet.        *10-hour battery life is based on using 50% volume.      **Other conditional factors may affect battery life.   ",https://walmart.com/ip/7JAQ1V6JHJFO,Electronics,/Portable Wireless & Bluetooth Speakers,$44.00,5.0,2 ratings
3EQILZMR08KI,COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Mic Deep Bass Wireless Headphones Over Ear,,https://walmart.com/ip/3EQILZMR08KI,Electronics,/Noise Cancelling Headphones,$59.99,4.7,12276 ratings
6D8779BTOA2T,Bose SoundLink Color Portable Bluetooth Speaker II,,https://walmart.com/ip/6D8779BTOA2T,Electronics,/Portable Wireless & Bluetooth Speakers,$129.00,4.4,205 ratings
5XI7SBC17V35,Bose SoundLink Revolve Portable Bluetooth Speaker,,https://walmart.com/ip/5XI7SBC17V35,Electronics,/Bose Home Audio,$199.00,4.6,124 ratings
3CXAZAV4LOU0,onn. Large Party Speaker with LED Lighting,"Turn up the fun! Take your party to the next level with our onn. Wireless Party Speaker with LED Lighting. Stream your favorite music with Bluetooth wireless technology or connect a mic or guitar for an impromptu karaoke session! The built-in rechargeable battery ensures you enjoy 13 hours of play time, so the party doesn't have to stop until you do! Doesn't that sound like music to your ears? Groove onn. with our onn. Wireless Party Speaker with LED Lighting. We're onn. to something here. We took the hassle out of buying electronics and built a brand that's fresh and simple. With delightful pops of color, finding the right product has never been easier. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple… to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life… like pondering the question, ""What should I binge watch this weekend?"" onn. Wireless Party Speaker with LED Lighting:  80W RMS output/160W peak output (2 x RMS) Bluetooth 13 Hours of playtime Built-in rechargeable battery 5 Multicolor LED lighting effects FM radio 3.5 mm AUX jack USB output charging port Microphone/guitar jack What's in the box? 1 Wireless Party Speaker, 1 Power cable 4.26 ft (130 cm) and 1 Quick Start Guide ",https://walmart.com/ip/3CXAZAV4LOU0,Gifts & Registry,/Gift Finder,$129.00,4.7,156 ratings
3OO5N8NPZCPT,"Sylvania Bluetooth(r) Tailgate Speaker, LED Lighting, (SPA122) 12-INCH WOOFER","Turn any outdoor gathering into a party with the Bluetooth(r) Tailgate Speaker from Sylvania. It has convenient rear handle and wheels make it easy to transport indoors and out. The built-in LED lighting will keep the party going! You can stream tunes from your phone or other Bluetooth(r) enabled devices. The retractable handle gives you the ability to take your tailgate speaker and party on the move. The handle and wheels make this portable Bluetooth(r) tailgate speaker with built-in LED lighting from Sylvania a convenient addition at indoor or outdoor events.Sylvania Bluetooth(R) Tailgate Speaker    ? Get the party started with this tailgate speaker with built-in LED lighting ? Wirelessly stream your favorite music from any Bluetooth(R)-enabled device ? Convenient rear handle and wheels make it easy to transport indoors and out ? The speaker has a built-in rechargeablebattery with four hours batterylife ? Connectivity: Bluetooth(R), 3.5mm aux ? Channels: 2.0 ? Display: Built-in LED lighting ? Dimensions (WxDxH): 13"" x 9"" x 20"" ? Weight: 4.3 kg",https://walmart.com/ip/3OO5N8NPZCPT,Electronics,/Portable Wireless & Bluetooth Speakers,$59.99,3.9,24 ratings
3JH0WG3UDJEQ,QFX 15 Inch Portable Bluetooth Party Loudspeaker with Wireless Microphone and Stand - PBX-61162,"QFX's Portable PARTY Speaker has you covered for any occasion. This versatile PA speaker rolls on into events to pump out music or amplify announcements. Much like a suitcase, it has a handle and wheels, so it'll be easy to transport. Once it's in place, it can stream music from a variety of sources: wirelessly via Bluetooth-enabled devices, through USB and microSD card slots, or connected with a cable through the aux-in port. No matter what you're playing, the speaker's 15"" woofer and amplifier ensure that everyone can hear clearly. The rechargeable battery lasts for 4-hours so you can stream music even in places without an outlet nearby.     - 7,500 Watts peak powers ensure everyone can be heard    - Connect your music device via Bluetooth to enjoy wireless control    - Play your MP3 music collection with a USB drive or microSD card and control with our remote control    - Listen to your favorite FM Radio station for the hottest playlist    - Enjoy 4-hours of continuous music with our built-in Li-ion battery    - Adjust the 5-band equalizer and bass/treble to fit the perfect mood    - Wireless connect the microphone and adjust the volume or echo for that special someone    - Roll and wheel away effortlessly to the next party spot    - Turn on the LED lights and let the lights move with the beat        ",https://walmart.com/ip/3JH0WG3UDJEQ,Musical Instruments,/PA Speakers,$129.99,4.0,104 ratings
1TJ1HNTROOLM,JBL TUNE 115TWS True Wireless In-Ear Headphones - Black," JBL TUNE 115TWS True Wireless In-Ear Headphones  Immerse yourself in your world. Whether you’re tuned into music or taking calls, you’ve got no cords to hold you back. Dual Connect lets you use either earbud, or both, anytime you want, in stereo or mono mode. Your favorite artists sound incredible with JBL Pure Bass. With up to 21 hours of battery life and a comfortable fit, you can keep the fun going all day and night. And if you miss the world, you can take and end calls or talk to your voice assistant using just a finger. Simple as that! Features:  Feel the BassJBL has powered festivals and concerts around the world for decades. Now let JBL bring your own world to life with incredible Pure Bass sound Listen for LongerWith up to 21 hours of battery life (6 hours from earbud and 15 hours from the case), you can listen all day and all night and get a top up with just 15-minute charge. Keep your own private concert going for as long as you can keep up Either Ear, or BothLeft ear, right ear, both ears? The power of Dual Connect gives you the choice to seamlessly enjoy music or make calls with either one or both buds. And the battery life keeps up with you, as you can keep one earbud charging, while using the other one Comfort-fitExperience total freedom with the True Wireless JBL TUNE 115TWS earbuds but in full comfort. Snug-fitting they come with 3 sizes of eartips to fit your size Hands-free calls and access to Voice AssistantTake and end calls or talk to your voice assistant using just a finger. Simple as that!  Specifications: Technical  Driver Size: 5.8mm / 0.23"" Dynamic driver Frequency Response: 20Hz – 20kHz Sensitivity: 96dB SPL @ 1kHz 1mW Maximum SPL: 96dB Microphone sensitivity: -38dBV/Pa @ 1kHz Impedance: 14 ohm Bluetooth transmitter power: <12dBm Bluetooth transmitted modulation: GFSK, π/4 DQPSK, 8DPSK Bluetooth frequency: 2.402GHz – 2.480GHz Bluetooth profile version: A2DP 1.3, AVRCP 1.5, HFP V1.7 Bluetooth version: 5.0 Headset battery type: Lithium-ion battery (85mAh/3.7V DC) Charging case battery type: Lithium-ion battery (850mAh/3.7V DC) Power supply: 5V 1.0A Charging time (headset & charging case):  Music playtime with BT on: 5 hrs  What's In The Box:  JBL TUNE 115TWS 3 sizes of eartips (S, M, L) Type-C USB charging cable Charging case 1 x Warranty / Warning (W / !) 1 x QSG / Safety Sheet (S / i)  Approximate Weight:  Unit: 0.16 lb Shipping: 1 lb  Warranty Information:  Manufacturer Warranty (authorized online retailer): One Year Parts and Labor          JBL Pure Bass Sound 8-Hour Battery Life With Speed Charge Multi-point Connection Magnetic Cable Management 4 Ohm Impedance ",https://walmart.com/ip/1TJ1HNTROOLM,Electronics,/All Portable Speakers,$49.95,0.0,0 ratings
389XCP93S5K8,JBL Flip 5 Black Camouflage Portable Bluetooth Speaker,"Sounds better than everFeel your music. Flip 5’s all new racetrack–shaped driver delivers high output. Enjoy booming bass in a compact package. Bring the party anywhereDon’t sweat the small stuff like charging your battery. Flip 5 gives you more than 12 hours of playtime. Keep the music going longer and louder with JBL’s signature sound. Make a splash with IPX7 waterproof designBring your speakers anywhere. Pool party? Perfect. Sudden cloudburst? Covered. Bash on the beach? Flip 5 is IPX7 waterproof up to three–feet deep for fearless outdoor entertainment. Crank up the fun with PartyBoostPartyBoost allows you to pair two JBL PartyBoost–compatible speakers together for stereo sound or link multiple JBL PartyBoost–compatible speakers to pump up your party. A rainbow of coloursWith 11 distinct colour options, the Flip 5 is anything but boring. Broaden your spectrum with JBL’s signature sound. Tough as it soundsSlip this little gem onto your wrist and get grooving. Its durable fabric material and rugged rubber housing keep the Flip 5 safe while you let loose in the great outdoors.Sounds better than ever with tuned JBL signature sound. Bring the party anywhere with a full 12 hours of playback. Make a splash with IPX7 waterproof design. Crank up the fun with PartyBoost.",https://walmart.com/ip/389XCP93S5K8,Electronics,/Smart Speakers,$89.95,4.3,566 ratings
