Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count
715RH3NTZNB6,"Acer Nitro 5 15.6"" Full HD 144Hz IPS Display, Intel Core i5, NVIDIA RTX 2060, 16GB DDR4, 256GB SSD + 1TB HDD, AN515-54-56ML","Soar to new gaming heightsâanytime, anywhereâwith the Nitro 5. This ultra-cool machine is sure to catch your eye with its sleek, mobile design, 15.6â Full HD IPS Display, and a wide range of gaming-rich features to put you in total command of the action. Leveraging the power and speed of its 9th Gen IntelÂ® Coreâ¢ processor and high-performance NVIDIAÂ® GeForce RTX 2060 graphicsâthatâs powered by NVIDIA Turingâ¢ GPU architectureâthe Nitro 5 delivers a knockout blow to the competition thatâs sure to make for an iconic gaming experience. Itâs advanced cooling and stellar audio capabilities support gaming sessions while the illuminating iron-red keyboard adds to the epic drama. This item was manufactured in 2020 Gaming Nitro RTX 2060 RTX2060 144hz ",https://walmart.com/ip/715RH3NTZNB6,Electronics,/Windows 10 Laptops,$899.00,4.2,6 ratings
6ZP1JWQRKGCO,"HP Envy 15.6"" FHD X360, Intel Core i5-10210U, 8GB SDRAM, 256GB SSD, Natural Silver, Windows 10, 15-dr1070wm (Google Classroom Compatible)","Get the look. Get more done with an Intel Core processor. More power, more security, and more ways to do it all. With the power, versatility and suite of cutting-edge security features you want, stay productive and protected like never before. Product overview. This item was manufactured in 2020. Operating system: Windows 10 Home Processor: 10th Generation IntelÂ® Coreâ¢ i5-10210U Display: 15.6-inch diagonal FHD IPS micro-edge WLED-backlit multitouch-enabled edge-to-edge glass Memory: 8 GB DDR4-2666 SDRAM (1 x 8 GB) Internal storage: 256 GB PCIeÂ® NVMeâ¢ M.2 SSD Graphics: IntelÂ® UHD Graphics Sound: Audio by Bang & Olufsen with dual speakers Battery life: Up to 9 hours and 15 minutes (mixed usage) Up to 12 hours and 30 minutes (video playback) Up to 10 hours and 30 minutes (wireless streaming) Wireless: IntelÂ® Wi-Fi 6 AX 201 (2x2)and BluetoothÂ® 5 combo(Supporting Gigabit file transfer speeds) Camera: HP Wide Vision HD Camera with integrated dual array digital microphone Product weight: 4.53 lb Keyboard: Full-size, island-style, backlit, natural silver keyboard with numeric keypad This item was manufactured in 2020   Google Classroom Compatible  ",https://walmart.com/ip/6ZP1JWQRKGCO,Gifts & Registry,/Gift Finder,$699.00,4.8,49 ratings
2HKP37AHVA5V,"Gateway 14.1"" FHD Ultra Slim Notebook, Intel Celeron, 4GB RAM, 64GB Storage, Tuned by THX Display & Audio, Mini HDMI, Webcam, Windows 10 S, Microsoft 365 Personal 1-Year Included",,https://walmart.com/ip/2HKP37AHVA5V,Electronics,/All Gateway,$199.00,4.2,64 ratings
6DGOKEL103YD,"Lenovo ideapad S340 13.3 Laptop, Intel Core i5-10210U Quad-Core Processor, 8GB Memory, 256GB Solid State Drive",,https://walmart.com/ip/6DGOKEL103YD,Electronics,/Windows 10 Laptops,$529.00,4.5,930 ratings
4ICHMQNBWLLY,"Lenovo Legion 5 Laptop, 15"" FHD, Intel Core i7-10750H, 8GB RAM, 512GB SSD, NVIDIA GeForce GTX 1650, Phantom Black, Windows 10, 82AU00BTUS","Offering a plethora of performance features for any gamer in a clean, minimalist design, the Legion 5 pairs the latest 10th Generation Intel Core i7 H-Series processors with NVIDIA GeForce GTX graphics, 2933 MHz DDR4 memory and M.2 NVMe PCIe SSD storage, all thermally tuned via Legion Coldfront 2.0. Enjoy maximum performance via Dual Burn Support, which pushes the CPU and GPU together for improved framerates. Plus, the Legion 5 combines blindingly fast refresh rates on a crisp 1080p IPS display with hair-trigger inputs via the Legion TrueStrike keyboard with softlanding switches allowing you to scream past competition and rise up through the ranks. This item was manufactured in 2020.Operating system: Windows 10 Processor: 10th Generation Intel Core i7-10750H Hexa Core Processor Display: 15.6"" FHD IPS LED Backlit Anti-Glare Display Memory: 8GB 2933MHz DDR4 RAM  Internal storage: 512GB 2242 M.2 NVMe Solid State Drive Graphics: NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics Optical Drive: None Audio: 2 x 1.5W Speakers with Dolby Audio Battery life: Up to 9 Hours Wireless: 2 x 2 802.11AX Wi-Fi 6 with Bluetooth 5 Webcam: 720P with Privacy Shutter and Dual Array Microphones Product weight: 5.5 lbs Color: Phantom Black     Google Classroom Compatible  ",https://walmart.com/ip/4ICHMQNBWLLY,Electronics,/Windows 10 Laptops,$849.00,4.6,104 ratings
1XJJBL9RSC4N,"ASUS VivoBook 15.6""FHD, AMD Ryzen™ 3 3250U, 4GB DDR4 RAM, 128G SSD, Slate Gray, F512DA-WB31","Whether at work or play, ASUS VivoBook 15 is the compact laptop that immerses you in whatever you set out to do. Its new frameless four-sided NanoEdge display boasts an ultraslim 5.7mm bezel, giving an amazing 88% screen-to-body ratio for supremely immersive visuals. The ErgoLift hinge design also tilts the keyboard up for more comfortable typing. VivoBook 15 is powered by up to AMD R3 processor with discrete AMD Radeon graphics to help you get things done with the least amount of fuss. 15.6"" FHD Display AMD Ryzen 3-3250 Processor 4GB RAM 128GB SSD Windows 10 in S Model Backlit Keyboard Fingerprint Reader HDMI USB Bluetooth WiFi ",https://walmart.com/ip/1XJJBL9RSC4N,Electronics,/All Asus Laptops,$349.00,4.5,31 ratings
3A4NW05TT9TF,"EVOO 11.6"" Ultra Thin Laptop, Intel Celeron, Dual Core, 3GB Memory, 32GB Storage, Front Camera, Mini HDMI, Windows 10 in S Mode, Black",,https://walmart.com/ip/3A4NW05TT9TF,Electronics,/All Evoo Laptops,$169.00,2.8,9 ratings
3XLGHPJDHCAX,"Lenovo IdeaPad 3 15"" Laptop, Intel Core i5-1035G1 Quad-Core Processor, 8GB Memory, 256GB Solid State Drive, Windows 10",,https://walmart.com/ip/3XLGHPJDHCAX,Electronics,/Windows 10 Laptops,$499.00,4.5,1970 ratings
5CPLJJH0RYE1,"Gateway 14.1"" FHD Ultra Slim Notebook, AMD Ryzen 3 3200U, 4GB RAM, 128GB SSD, Tuned by THX Audio, Fingerprint Scanner, Webcam, HDMI, Windows 10 S",,https://walmart.com/ip/5CPLJJH0RYE1,Electronics,/All Gateway,$349.00,4.3,31 ratings
2A29JHUH00D3,"HP 15.6"" Pentium 4GB/128GB Laptop-Scarlet Red","Do more of what you love. Allday long. Designed to keep you productive and entertained from anywhere, the HP 15-inch laptop combines long lasting battery life with a sleek and portable, micro-edge bezel design. Operating system: Windows 10 Home in S mode Processor: Intel® Pentium®  Processor Display: 15.6-inch diagonal HD, SVA, BrightView, micro-edge, WLED-backlit Memory: 4 GB DDR4-2400 SDRAM (1 x 4 GB) Internal storage: 128 GB SATA 3 M.2 SSD Graphics: Intel® UHD Graphics 605 Battery life: Up to 10 hours and 45 minutes (video playback) Up to 9 hours (wireless streaming) Camera: HP TrueVision HD Camera with integrated dual array digital microphones Product weight: 3.93 lb ",https://walmart.com/ip/2A29JHUH00D3,Electronics,/Windows 10 Laptops,$406.90,4.2,23 ratings
