Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count
1S2L7JCWDJ60,Cricket Wireless Samsung Galaxy A11 32GB BLACK,"Cricket Wireless Samsung A11 Prepaid cell phone, BlackCricket Wireless Samsung Galaxy A11",https://walmart.com/ip/1S2L7JCWDJ60,Cell Phones,/Cricket Wireless Prepaid Phones,$99.00,5.0,1 ratings
6E2PDBGWIK3R,Refurbished Total WirelessSamsung Galaxy J3 Orbit,Refurbished Total WirelessSamsung Galaxy J3 OrbitTWSAS367VCR,https://walmart.com/ip/6E2PDBGWIK3R,Cell Phones,/All Prepaid Phones,$19.99,3.5,4 ratings
4ZXEAMSZDO7R,Straight Talk Apple iPhone 6s Prepaid Smartphone with 32GB,,https://walmart.com/ip/4ZXEAMSZDO7R,Cell Phones,/All Prepaid Phones,$249.97,4.1,1083 ratings
5ZGBK7DY09FR,"Total Wireless Moto g7 Optimo Maxx, 32GB Blue - Prepaid Smartphone","Live your life?without worrying about battery life. Total Wireless Moto g7 Optimo Maxx gives you up to 3 days. And when it?s time to recharge, get 9 hours of power in just 15 minutes with TurboPower?. Enjoy an ultrawide 6.2"" Max Vision HD+ display. Feel the responsive performance on an octa-core processor. And never miss a moment with a fast focusing 12 MP camera. CDMA-V 6.2"" Max Vision HD+ display 12MP rear camera with LED Flash 8MP front camera 3GB RAM/32GB on internal storage Android 9 Pie 5000 mAh battery Fingerprint sensor Up to 3 days of battery power XT1955 ",https://walmart.com/ip/5ZGBK7DY09FR,Cell Phones,/All Prepaid Phones,$99.00,4.4,46 ratings
7DA7JHJYX54W,Boost Mobile LG Stylo 6,"Express who you are to the world with the new LG Stylo 6 — the device that enhances your #MobileLife, and all the ways you live it. Whether you’re experiencing, creating or sharing content, Stylo gives you unlimited potential, even if you’re on a limited budget. From the 6.8"" FHD+ FullVision Display to three spectacular rear cameras and the built-in stylus pen, celebrate all the ways you live the #StyloLife.Boost Mobile LG Stylo 6",https://walmart.com/ip/7DA7JHJYX54W,Cell Phones,/Android Prepaid Phones,$159.00,4.4,30 ratings
1EVXKM5UUN0N,"Straight Talk SAMSUNG Galaxy A01, 16GB Black - Prepaid Smartphone","Enjoy the Galaxy A01 in Black from Straight Talk and get nationwide coverage on America’s largest and most dependable networks*. Capture your best moments with a 13MP dual lens camera, then view and share them all on an edge-to-edge 5.7” Infinity V-display. Choose a no-contract wireless plan from Straight Talk for unlimited talk, text & data to go with your new phone. Find it online or in-store at your local Walmart. Up to 19.7 hours standby time 13MP rear camera Black Nationwide coverage on America’s largest and most dependable networks* Compatible with talk, text & data plans from Straight Talk  *Actual availability, coverage and speed may vary. See details at StraightTalk.com",https://walmart.com/ip/1EVXKM5UUN0N,Cell Phones,/All Prepaid Phones,$39.99,4.1,127 ratings
39LAJMDQKXSI,Boost Mobile Motorola MOTO G Fast,"Introducing Moto G Fast. Experience incredible performance with the Qualcomm Snapdragon 665 and 3GB RAM as your phone responds instantly to every tap, touch and swipe. Capture the perfect shot in any situation with the triple camera system including a Macro Vision and ultra-wide lens. All powered by an amazing 2 days of battery life2. moto g fast. Superior performance is closer than you think.Boost Mobile Motorola MOTO G Fast",https://walmart.com/ip/39LAJMDQKXSI,Cell Phones,/Android Prepaid Phones,$89.00,4.0,7 ratings
37XH89K3YGG5,Refurbished Apple iPhone 7 128GB - Unlocked GSM,,https://walmart.com/ip/37XH89K3YGG5,Cell Phones,/Refurbished iPhone 7,$163.93,3.2,362 ratings
2DREJ789N6RK,"AT&T PREPAID LG Neon Plus 32GB Prepaid Smartphone, Moroccan Blue"," Large 5.45"" HD+ FullVision display  8MP rear camera with flash & 5MP front camera  Up to 32GB internal memory, expandable up to 32GB more (card sold separately)  Long-lasting battery  Android 9 Pie    For AT&T PREPAID full terms and conditions, visit walmart.com/attprepaid.  ",https://walmart.com/ip/2DREJ789N6RK,Cell Phones,/All AT&T Prepaid Phones,$69.00,3.8,56 ratings
6X83NAD8WGFS,"Straight Talk SAMSUNG Galaxy A10E, 32GB Black - Prepaid Smartphone","Experience the new Samsung Galaxy A10e in Black on Straight Talk without a contract or mystery fees. Do more with a long-lasting battery, 32GB of storage and dual cameras. Get the talk, text & data you want with nationwide coverage on America’s largest and most dependable networks*. Find your next phone and plan online or at a local Walmart.  ●   8MP main camera     ●   5MP front-facing camera    ●   Black    ●   Nationwide coverage on America’s largest and most dependable networks*    ●   Compatible with talk, text & data plans from Straight Talk    ●   32GB of storage, expandable up to 512GB³    ●   5.83"" HD+  720 x 1560    ●   3,000 mAh battery    ●   NOTE: Sales of prepaid phones are restricted to no more than 2 devices per customer within a 21-day period (across brands)    *Actual availability, coverage and speed may vary. See details at StraightTalk.com.    Please Read: Due to larger than expected demand on this item, shipment may be delayed longer than originally quoted in checkout.    ",https://walmart.com/ip/6X83NAD8WGFS,Cell Phones,/All Prepaid Phones,$99.00,3.7,548 ratings
