Product_code,Product_name,Product_description,Product_URL,Breadcrumb_parent,Breadcrumb_active,Product_price,Rating_Value,Rating_Count
2M4XSPMUL82F,SAMSUNG Galaxy Tab A7 10.4 Wi-Fi,,https://walmart.com/ip/2M4XSPMUL82F,Electronics,/All Tablets,$169.00,4.0,3 ratings
58LSP9E968RR,"SAMSUNG Galaxy Tab S6 Lite (Wi-Fi) S Pen Included, Various Sizes",,https://walmart.com/ip/58LSP9E968RR,Electronics,/All Android Tablets,$279.00,4.8,149 ratings
4FCIQK1JCSVC,HDE iPad 7th Generation Case for Kids iPad 10.2 inch 2019 Case for Kids Shock Proof Protective Light Weight Cover with Handle Stand for 2019 Apple iPad 10.2 - Hot Pink,,https://walmart.com/ip/4FCIQK1JCSVC,Electronics,"/iPad Cases, Sleeves & Bags",$19.99,4.6,105 ratings
1DFNKRWFP8Q3,"airBook 11.6"" 2-in-1 Wi-Fi Tablet","Be your most productive self with the compact, capable and easy-to-use Packard Bell airBook. This 2-in-1 convertible laptop and tablet is designed to meet your needs, whether you’re sitting down to work with full attention, using with only one hand while multitasking, or watching a video from across the room. Snap it into its case and the airBook instantly converts from a classic touchscreen tablet to a laptop with full keyboard. Installed with Google’s latest OS, Android™ 9 operating system, 2GB RAM and 32GB of internal storage, use your favorite apps to take a business video call, return emails, snap a picture, and organize your to-do list. After you’re done with work and errands, video chat a friend, play a game or catch up on your favorite Netflix show or YouTube channel. This lightweight, convenient, and user-friendly device is a must-have for simplifying the daily tasks of your busy schedule.2-in-1 airBook Converts Between Laptop and Tablet • Use the airBook as a touchscreen tablet for convenience and portability • airBook easily converts between tablet and laptop, simply snap the tablet into the case for instant, automatic connection to the keyboard- no charging or pairing required Beautiful 11.6” Full High-Definition Touchscreen Display • 1920x1080 screen resolution displays text and images in crystal clear high definition • IPS screen technology means you see the same clear, colorful picture from any angle • Touchscreen control makes it easy to navigate, zoom, and scroll with your fingers Android 9 Operating System • Leading operating system includes classic essential Google apps like Gmail, YouTube, and more • Download apps through the included Google Play store Powerful Memory and Versatile Storage Options • Handle your favorite power-hungry apps and games with the 64-bit quad-core processor • airBook includes 2GB RAM and 32GB1 of built-in storage  Get up to 256GB of additional storage with the built-in micro SD card slot (microSD card sold separately)  Make Google Do It • Ask questions, set reminders, play music, control your home, and more with Google Assistant3  Launch the Google Assistant, or just say, “Hey Google”  Built-In Cameras and Stereo Speakers • Take and store HD photos with the airBook’s 5MP rear camera • Use the front camera to make video calls • Enjoy your favorite videos and music with the convenient built-in stereo speakers Unlimted Storage for Your Photos and Videos • Back up unlimited photos and videos for free4 up to 16MP and 1080p HD. Access them from any phone, tablet, or computer on photos.google.com – your photos will be safe, secure, and always with you. Wireless Freedom and Flexibility • Use the tablet’s 802.11b/g/n ac Wi-Fi connectivity to surf the Internet, stream videos, and more • Built-in Bluetooth technology connects the airBook to external wireless devices, including headphones, speakers, and other Bluetooth enabled devices (sold separately) Compact, Portable and Long-Lasting • Thin enough to easily fit into most standard briefcases, purses and totes • Long-lasting battery to work or play unplugged!   M11550x Specifications  OS: Android 9 Processor: MediaTek MT8167 quad-core Display: 11.6” FHD IPS touch display (1920x1080) Memory: 2GB Storage: 32GB1 internal storage Ports: (1) Micro USB 2.0, (1) 3.5mm audio jack Expansion Slots: (1) Micro SD media card reader Wi-Fi: 802.11 b/g/n ac Bluetooth: 4.0 Camera: 5MP rear camera / 2MP front camera Audio: Stereo speakers Battery: 6,300 mAh Li-ion Dimensions (L x W x H): 11.75 x 0.4 x 7.25 inches Weight: Approx. 2.5 lbs. ",https://walmart.com/ip/1DFNKRWFP8Q3,Electronics,/All Tablets,$129.99,3.3,6 ratings
3HNNFP5PLBGM,Lenovo Smart Tab M10 with Google Assistant and Google Kids Space,"The Lenovo Smart Tab M10 HD is a stunning media tablet. On its own, the 10.1"" device comes in a sleek profile, with an all-aluminum design, fast connectivity, powerful processing and a media center with Dolby Atmos® optimized dual speakers. When the device is idle, dock it onto the smart charging station to charge and transform it into your hands-free smart home hub. With Google Assistant’s Ambient Mode, you can get more done hands-free. Manage your daily schedule, get your answers quickly, request your favourite playlist or news, and control your smart home devices - all with just your voice. From front to back, top to bottom, the full metal body cover provides a modern touch. The narrow bezels on the display help to provide a jaw-dropping 87% screen-to-display ratio. With dual speakers expertly tuned with Dolby Atmos®, everything sounds better. From games to movies and music, the truly immersive sounds you hear and feel will transport you to the center of the action. Enjoy the new Kids Mode for the younger ones. Google Kids Space is designed for kids ages 3 to 8 and works with your child’s Google Account, that parents can help manage with Family Link. It is designed to nurture your kid’s curiosity and creativity, inspiring them to explore their interests through thoughtfully curated apps, books, and videos. Set your device onto the Smart Charging Station for hassle-free charging. With the Google Assistant’s Ambient Mode, you can transform your tablet into a media center: use it as a digital photo frame, listen to music, watch videos, manage smart home devices, and get key updates, such as the morning traffic, news, and weather. ",https://walmart.com/ip/3HNNFP5PLBGM,Electronics,/All Tablets,$129.00,4.4,43 ratings
52WP47XVXHSY,Refurbished Apple iPad 7th Gen 32GB Gold Wi-Fi (2019),,https://walmart.com/ip/52WP47XVXHSY,Electronics,/All Refurbished Tablets,$255.00,4.7,76 ratings
6AISU8IQSJ8K,"Lenovo Tab M10 FHD Plus 10"" (Android Tablet)",,https://walmart.com/ip/6AISU8IQSJ8K,Electronics,/10 Inch Android Tablets,$149.99,4.6,472 ratings
5224PYX0UFOI,"onn. 8"" Tablet, 16GB Storage, 2GB RAM, 1.3 GHz Quad-Core Processor, LCD Display","Take it with you – mobile computing has never been easier than with our 8"" tablet. Great for everyday use, we've given it a crystal-clear display plus over 5 hours of battery life. Surf, work, socialize, play games or even stream content from the web. Running the Android 9 Pie operating system, this tablet has a familiar smartphone-like feel, but with added kick for all your computing needs. Surf onn. . We're onn. to something here. We took the hassle out of buying electronics and built a brand that's fresh and simple. With delightful pops of color, finding the right product has never been easier. Say goodbye to stressful decision-making and fear of the electronics aisle. Our mission is simple… to deliver great products and make it easy. Choose onn. and get back to using your brainpower for the important things in life… like pondering the question, What should I binge watch this weekend?"" Onn 8"" Tablet   8"" LCD Touchscreen 1.3 GHz Quad-core processor 5.5 Hours battery life 16 GB Storage with microSD slot for storage expansion 2 GB RAM Preloaded Walmart Apps: Walmart, Walmart Grocery, Sam's Club, Vudu, and Walmart eBooks $10 off Walmart eBooks Included 0.3 MP front-facing camera + 2 MP rear-facing camera  ",https://walmart.com/ip/5224PYX0UFOI,Electronics,/onn. Tablets & Laptops,$64.00,3.7,61 ratings
0SG4Y7W2GXCO,Apple 12.9-inch iPad Pro (2020) Wi-Fi,,https://walmart.com/ip/0SG4Y7W2GXCO,Electronics,/All Tablets,"$1,035.93",4.5,45 ratings
6ZVBN13UMNB6,Apple 11-inch iPad Pro (2020) Wi-Fi,,https://walmart.com/ip/6ZVBN13UMNB6,Electronics,/All Tablets,$899.00,4.8,49 ratings
