category_labels,product_name,,category_number
clothing,Time and Tru Women's Dachshund Sweater,,0
clothing,"Time and Tru Women’s Animal Print Feather Flats, Available in Wide Width",,0
video games,"Nintendo Switch Lite Console, Coral",,1
video games,"Mario Kart 7, Nintendo, Nintendo 3DS, 045496741747",,1
clothing ,"George Men's and Big Men's Super Soft Flannel Shirt, up to 5XLT",,0
clothing,PORTLAND by Portland Boot Company Faux Fur Trim Lace Up Boot (Women's),,0
video games,"Nintendo Switch Joy-Con Pair, Neon Pink and Neon Green",,1
video games,EXQUISITE GAMING Cable Guy Charging Controller and Device Holder - ICE Spyro from Spyro Reignighted Trilogy,,1
clothing,Free Assembly Men's Utility Shirt,,0
video games,"Nintendo Switch Joy-Con Pair, Neon Pink and Neon Green",,1
clothing,Time and Tru Women's Dachshund Sweater,,0
clothing,"Time and Tru Women’s Animal Print Feather Flats, Available in Wide Width",,0
video games,"Nintendo Switch Lite Console, Coral",,1
video games,"Mario Kart 7, Nintendo, Nintendo 3DS, 045496741747",,1
clothing ,"George Men's and Big Men's Super Soft Flannel Shirt, up to 5XLT",,0
clothing,PORTLAND by Portland Boot Company Faux Fur Trim Lace Up Boot (Women's),,0
video games,"Nintendo Switch Joy-Con Pair, Neon Pink and Neon Green",,1
video games,EXQUISITE GAMING Cable Guy Charging Controller and Device Holder - ICE Spyro from Spyro Reignighted Trilogy,,1
clothing,Free Assembly Men's Utility Shirt,,0
video games,"Nintendo Switch Joy-Con Pair, Neon Pink and Neon Green",,1
